,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.13,0.07,0.63,0.27,0.31,0.22,0.36,0.42,0.11,0.05,0.17,0.18
gamestone.csv,0.15,0.42,0.4,0.45,0.04,0.02,0.69,0.09,0.68,0.0,0.15,0.39
geochat.csv,0.44,0.42,0.06,0.13,0.84,0.22,0.84,0.18,0.49,0.79,0.4,0.21
igarden.csv,0.17,0.36,0.19,0.42,0.73,0.34,0.33,0.27,0.21,0.09,0.27,0.13
ingex.csv,0.1,0.4,0.34,0.51,0.85,0.28,0.09,0.36,0.31,0.27,0.23,0.21
lphant.csv,0.35,0.69,0.52,0.65,0.27,0.64,0.56,0.27,0.75,0.29,0.46,0.52
nabu-library.csv,0.27,0.39,0.21,0.38,0.26,0.82,0.0,0.39,0.04,0.05,0.56,0.26
nebuladevice.csv,0.31,0.01,0.0,0.73,0.89,0.24,0.56,0.24,0.28,0.3,0.69,0.06
owlapi.csv,0.38,0.12,0.24,0.27,0.81,0.44,0.02,0.85,0.15,0.55,0.4,0.38
pi-qmc.csv,0.29,0.79,0.45,0.64,0.32,0.7,0.8,0.79,0.75,0.16,0.59,0.66
trinitycore.csv,0.56,0.5,0.03,0.36,0.06,0.3,0.38,0.06,0.45,0.07,0.4,0.22
twostep.csv,0.44,0.72,1.0,1.0,0.95,0.88,0.13,0.85,0.56,0.27,0.72,0.86
