,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.24,0.15,0.14,0.57,0.48,0.26,0.35,0.5,0.08,0.39,0.18,0.29
gamestone.csv,0.61,0.33,0.27,0.34,0.09,0.06,0.52,0.28,0.34,0.17,0.14,0.3
geochat.csv,0.12,0.28,0.06,0.38,0.31,0.22,0.34,0.19,0.33,0.19,0.28,0.43
igarden.csv,0.11,0.54,0.11,0.39,0.45,0.52,0.09,0.52,0.38,0.46,0.45,0.17
ingex.csv,0.14,0.42,0.4,0.35,0.63,0.59,0.6,0.42,0.24,0.52,0.34,0.33
lphant.csv,0.42,0.47,0.28,0.47,0.52,0.53,0.64,0.68,0.3,0.59,0.4,0.38
nabu-library.csv,0.31,0.34,0.26,0.17,0.82,0.56,0.0,0.25,0.0,0.28,0.33,0.2
nebuladevice.csv,0.29,0.0,0.0,0.34,0.58,0.45,0.15,0.24,0.48,0.44,0.4,0.0
owlapi.csv,0.0,0.18,0.46,0.23,0.62,0.35,0.2,0.51,0.14,0.39,0.22,0.3
pi-qmc.csv,0.47,0.44,0.29,0.43,0.62,0.49,0.52,0.57,0.3,0.76,0.31,0.38
trinitycore.csv,0.28,0.46,0.07,0.31,0.14,0.27,0.31,0.22,0.43,0.0,0.48,0.21
twostep.csv,0.28,0.49,0.28,0.46,0.62,0.49,0.81,0.59,0.31,0.63,0.39,0.39
