,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.58,0.69,0.19,0.34,0.46,0.33,0.53,0.01,0.65,0.41,0.52,0.54
freedom-erp.csv,0.82,0.09,0.52,0.04,0.0,0.01,0.41,0.74,0.14,0.0,0.39,0.06
haggle.csv,0.29,0.48,0.2,0.64,0.35,0.17,0.29,0.17,0.87,0.0,0.68,0.16
javaprofiler.csv,0.52,0.46,0.5,0.54,0.65,0.57,0.0,0.0,0.85,0.65,0.0,0.7
jchassis.csv,0.0,0.0,0.0,0.0,0.12,0.0,0.05,0.0,0.0,0.99,0.0,0.0
jmoney.csv,0.85,0.76,0.72,0.55,0.62,0.44,0.27,0.52,0.78,0.0,0.23,0.28
jsidplay2.csv,0.76,0.25,0.75,0.33,0.6,0.38,0.57,0.36,0.29,0.49,0.18,0.54
madman.csv,0.06,0.44,0.41,0.41,0.27,0.27,0.36,0.24,0.94,0.0,0.5,0.46
matrex.csv,0.82,0.58,0.5,0.23,0.63,0.4,0.84,0.58,0.8,0.0,0.06,0.5
mediate.csv,0.18,0.13,0.06,0.47,0.67,0.26,0.42,0.52,0.14,0.3,0.48,0.61
primefaces.csv,0.68,0.36,0.46,0.21,0.32,0.09,0.73,0.01,0.17,0.74,0.68,0.55
tmva.csv,0.66,0.47,0.0,0.39,0.0,0.73,0.0,0.0,0.7,0.0,0.51,0.29
