,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.55,0.7,0.66,0.3,0.67,0.29,0.78,0.01,0.62,0.5,0.8,0.76
freedom-erp.csv,0.8,0.07,0.47,0.03,0.0,0.01,0.36,0.76,0.12,0.0,0.35,0.05
haggle.csv,0.25,0.48,0.17,0.66,0.31,0.14,0.25,0.14,1.0,0.0,0.78,0.13
javaprofiler.csv,0.85,0.67,0.51,0.86,0.77,0.63,0.99,1.0,1.0,1.0,0.95,0.69
jchassis.csv,0.0,0.0,0.0,0.0,0.1,0.0,0.04,0.0,0.0,1.0,0.0,0.0
jmoney.csv,0.85,0.89,0.81,0.53,0.72,0.42,0.23,0.49,0.88,0.0,0.2,0.24
jsidplay2.csv,0.9,0.22,0.75,0.3,0.64,0.33,0.53,1.0,0.25,0.5,0.15,0.76
madman.csv,0.05,0.41,0.41,0.36,0.23,0.23,0.33,0.2,1.0,0.0,0.72,0.41
matrex.csv,0.85,0.56,0.46,0.19,0.62,0.36,0.85,0.57,0.88,0.0,0.05,0.47
mediate.csv,0.15,0.11,0.05,0.45,0.69,0.22,0.53,0.75,0.12,1.0,0.45,0.68
primefaces.csv,0.95,1.0,0.42,1.0,0.74,0.88,0.75,0.01,1.0,1.0,0.65,0.57
tmva.csv,0.9,0.48,1.0,0.91,1.0,0.72,1.0,1.0,0.75,0.0,0.88,0.85
