,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.52,0.6,0.67,0.42,0.58,0.43,0.61,0.02,0.42,0.04,0.69,0.72
freedom-erp.csv,0.82,0.13,0.63,0.05,0.0,0.01,0.51,0.76,0.12,0.0,0.46,0.1
haggle.csv,0.29,0.39,0.28,0.7,0.4,0.24,0.31,0.23,0.43,0.0,0.72,0.23
javaprofiler.csv,0.49,0.42,0.6,0.75,0.69,0.68,0.65,0.73,0.41,0.08,0.72,0.76
jchassis.csv,0.0,0.0,0.0,0.0,0.19,0.0,0.08,0.0,0.0,0.5,0.0,0.0
jmoney.csv,0.79,0.62,0.82,0.61,0.66,0.53,0.35,0.59,0.37,0.0,0.3,0.38
jsidplay2.csv,0.6,0.22,0.81,0.39,0.62,0.48,0.62,0.75,0.19,0.05,0.22,0.72
madman.csv,0.09,0.39,0.51,0.5,0.32,0.36,0.38,0.31,0.57,0.0,0.64,0.57
matrex.csv,0.71,0.53,0.59,0.31,0.67,0.48,0.83,0.62,0.4,0.0,0.09,0.58
mediate.csv,0.2,0.14,0.09,0.54,0.69,0.34,0.46,0.65,0.11,0.06,0.55,0.7
primefaces.csv,0.57,0.54,0.56,0.79,0.61,0.79,0.71,0.02,0.25,0.09,0.74,0.63
tmva.csv,0.55,0.38,0.86,0.76,0.72,0.8,0.66,0.73,0.33,0.0,0.72,0.74
