,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.27,0.33,0.95,0.24,0.8,0.17,0.77,0.0,0.22,0.76,0.78,0.75
freedom-erp.csv,0.07,0.04,0.1,0.07,0.0,0.0,0.04,0.34,0.16,0.02,0.26,0.0
haggle.csv,0.24,0.53,0.1,0.41,0.3,0.08,0.35,0.13,0.43,0.11,0.56,0.06
javaprofiler.csv,0.8,0.8,0.55,0.78,0.6,0.58,1.0,1.0,0.47,0.73,1.0,0.25
jchassis.csv,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.0
jmoney.csv,0.15,0.53,0.5,0.34,0.6,0.43,0.08,0.27,0.47,0.21,0.22,0.08
jsidplay2.csv,0.54,0.41,0.25,0.44,0.53,0.15,0.19,0.9,0.22,0.56,0.3,0.75
madman.csv,0.05,0.35,0.6,0.17,0.27,0.17,0.37,0.1,0.24,0.38,0.78,0.06
matrex.csv,0.27,0.29,0.25,0.05,0.3,0.33,0.19,0.36,0.41,0.06,0.04,0.31
mediate.csv,0.17,0.27,0.1,0.39,0.4,0.25,0.77,0.77,0.2,0.92,0.3,0.56
primefaces.csv,0.68,0.9,0.3,0.95,0.9,0.98,0.36,0.03,0.96,0.64,0.15,0.53
tmva.csv,0.68,0.55,1.0,0.88,1.0,0.25,1.0,1.0,0.45,0.74,0.81,0.92
