,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.5,0.56,0.71,0.71,0.54,0.78,0.63,1.0,0.26,0.0,0.55,0.79
freedom-erp.csv,0.7,1.0,0.93,0.0,0.75,1.0,1.0,0.74,0.17,0.0,0.43,1.0
haggle.csv,0.33,0.4,0.86,0.77,0.54,0.84,0.11,0.29,0.22,0.0,0.59,0.9
javaprofiler.csv,0.33,0.31,0.74,0.67,0.61,0.75,0.49,0.58,0.25,0.04,0.61,0.89
jchassis.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.33,0.0,0.0
jmoney.csv,0.65,0.5,0.93,0.79,0.57,0.79,0.85,0.72,0.26,0.0,0.75,0.67
jsidplay2.csv,0.44,0.31,0.9,0.67,0.61,0.8,0.66,0.62,0.12,0.04,0.6,0.66
madman.csv,0.31,0.25,0.63,0.72,0.5,0.68,0.46,0.5,0.38,0.03,0.58,0.87
matrex.csv,0.61,0.5,0.84,0.88,0.73,0.75,0.82,0.69,0.26,0.0,0.67,0.76
mediate.csv,0.33,0.4,0.6,0.76,0.7,0.75,0.44,0.64,0.25,0.04,0.75,0.8
primefaces.csv,0.43,0.36,0.79,0.64,0.57,0.73,0.64,0.56,0.14,0.04,0.78,0.63
tmva.csv,0.34,0.4,0.75,0.64,0.57,0.86,0.49,0.58,0.2,0.0,0.59,0.68
