,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.52,0.45,1.01,0.74,0.87,0.73,0.8,0.99,0.44,0.91,0.8,0.79
freedom-erp.csv,0.21,0.93,0.53,0.98,1.0,0.99,0.65,0.42,0.89,1.0,0.7,0.95
haggle.csv,0.79,0.74,0.84,0.53,0.75,0.87,0.83,0.87,0.43,1.01,0.6,0.87
javaprofiler.csv,0.82,0.87,0.74,0.79,0.64,0.69,1.0,1.0,0.47,0.73,1.0,0.4
jchassis.csv,1.0,1.0,1.0,1.0,0.9,1.0,0.96,1.0,1.0,0.06,1.0,1.0
jmoney.csv,0.21,0.54,0.53,0.58,0.66,0.72,0.77,0.57,0.49,1.02,0.83,0.76
jsidplay2.csv,0.55,0.88,0.36,0.83,0.64,0.69,0.5,0.9,0.78,0.75,0.9,0.79
madman.csv,0.95,0.69,0.84,0.66,0.81,0.79,0.77,0.81,0.24,1.07,0.82,0.59
matrex.csv,0.31,0.53,0.6,0.81,0.49,0.73,0.24,0.56,0.43,1.0,0.95,0.61
mediate.csv,0.87,0.93,0.95,0.68,0.5,0.82,0.9,0.81,0.9,0.92,0.62,0.64
primefaces.csv,0.68,0.9,0.65,0.95,0.94,0.99,0.44,0.99,0.96,0.64,0.38,0.68
tmva.csv,0.69,0.76,1.0,0.88,1.0,0.37,1.0,1.0,0.51,1.25,0.82,0.93
