,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,4.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,5.0,67.0,2.0,0.0
freedom-erp.csv,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,7.0,67.0,0.0,0.0
haggle.csv,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,67.0,0.0,0.0
javaprofiler.csv,14.0,3.0,4.0,0.0,2.0,1.0,2.0,1.0,6.0,10.0,1.0,0.0
jchassis.csv,60.0,77.0,78.0,114.0,0.0,225.0,2.0,166.0,56.0,1.0,66.0,110.0
jmoney.csv,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,67.0,0.0,0.0
jsidplay2.csv,11.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,22.0,6.0,4.0,0.0
madman.csv,8.0,4.0,3.0,0.0,0.0,2.0,7.0,0.0,2.0,2.0,0.0,0.0
matrex.csv,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,67.0,1.0,1.0
mediate.csv,2.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,10.0,0.0,0.0
primefaces.csv,10.0,5.0,2.0,0.0,0.0,0.0,2.0,5.0,25.0,9.0,0.0,0.0
tmva.csv,18.0,4.0,3.0,0.0,2.0,1.0,2.0,1.0,6.0,67.0,1.0,0.0
