,jmoney.csv,dxengine.csv,jsidplay2.csv,haggle.csv,mediate.csv,tmva.csv,matrex.csv,freedom-erp.csv,madman.csv,jchassis.csv,primefaces.csv,javaprofiler.csv
dxengine.csv,0.64,0.39,0.5,0.59,0.4,0.52,0.42,0.0,0.62,0.61,0.42,0.51
freedom-erp.csv,0.53,0.75,0.53,0.8,0.0,0.0,0.76,0.35,0.89,0.0,0.57,0.75
haggle.csv,0.67,0.55,0.92,0.48,0.57,0.96,0.61,0.96,0.41,0.86,0.3,0.92
javaprofiler.csv,0.4,0.47,0.51,0.49,0.4,0.5,0.35,0.31,0.42,0.6,0.34,0.54
jchassis.csv,0.0,0.0,0.0,0.0,0.75,0.0,0.8,0.0,0.0,0.83,0.0,0.0
jmoney.csv,0.43,0.37,0.33,0.36,0.35,0.39,0.83,0.45,0.37,0.5,0.71,0.62
jsidplay2.csv,0.38,0.85,0.41,0.82,0.44,0.94,0.51,0.31,0.77,0.53,0.79,0.49
madman.csv,0.67,0.48,0.67,0.44,0.82,0.67,0.71,0.96,0.5,0.72,0.34,0.76
matrex.csv,0.43,0.4,0.47,0.75,0.48,0.43,0.45,0.5,0.37,0.75,0.67,0.54
mediate.csv,0.9,0.94,0.8,0.78,0.51,0.92,0.51,0.39,0.91,0.54,0.58,0.49
primefaces.csv,0.34,0.4,0.48,0.48,0.34,0.46,0.37,0.67,0.38,0.61,0.47,0.47
tmva.csv,0.37,0.51,0.38,0.46,0.32,0.5,0.34,0.31,0.46,0.45,0.3,0.38
