,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.36,1.0,0.11,0.59,0.94,0.62,0.68,0.76,0.61,0.14,0.51,0.64,0.84,0.17,0.74,0.63,0.39,0.1,0.38
boost-sandbox.csv,0.34,0.0,0.19,0.47,0.52,0.31,0.0,0.98,0.42,0.18,0.38,0.06,0.41,0.22,0.43,0.0,0.25,0.04,0.24
dspace-gsoc.csv,0.36,0.13,0.18,0.28,0.25,0.3,0.16,0.3,0.29,0.24,0.35,0.33,0.44,0.0,1.0,0.52,0.27,0.18,0.21
enlightenment.csv,0.35,0.67,0.07,0.63,0.84,0.62,0.98,0.53,0.55,0.12,0.52,0.42,0.72,0.0,0.67,0.56,0.36,0.16,0.49
fceugc.csv,0.4,0.26,0.2,0.42,0.65,0.42,0.46,0.21,0.41,0.2,0.98,0.56,0.36,0.06,0.26,0.27,0.28,0.33,0.33
gnukeda.csv,0.37,0.71,0.19,0.59,0.81,0.99,0.6,0.74,0.4,0.17,0.5,0.63,0.73,0.2,0.77,0.63,0.39,0.1,0.45
jaolt.csv,0.41,0.48,0.21,0.55,0.71,0.49,0.48,0.32,0.51,0.17,0.52,0.63,0.99,0.14,0.4,0.53,0.48,0.24,0.38
knowledge.csv,0.32,0.73,0.12,0.57,1.0,0.73,0.7,0.84,0.64,0.15,0.48,0.58,0.83,0.2,0.79,0.58,0.42,0.09,0.38
kowari.csv,0.24,0.29,0.4,0.41,0.58,0.35,0.34,0.22,0.26,0.92,0.34,0.65,0.29,0.14,0.05,0.2,0.19,0.0,0.46
lufa-lib.csv,0.25,0.33,0.11,0.37,0.53,0.46,0.46,0.49,0.2,0.16,0.35,0.63,0.4,0.34,0.31,0.99,0.34,0.1,0.4
maidsafe-dht.csv,1.0,0.0,0.31,0.25,0.36,0.39,0.36,0.27,0.3,0.24,0.18,0.35,0.35,0.0,0.15,0.15,0.37,0.1,0.35
pixel-commandos.csv,0.31,0.38,0.0,0.31,0.3,0.18,0.17,0.18,0.23,0.21,0.32,0.36,0.21,0.0,0.05,0.13,0.26,1.0,0.42
playerstage.csv,0.21,0.47,0.16,0.98,0.72,0.32,0.6,0.61,0.51,0.14,0.49,0.33,0.46,0.15,0.44,0.41,0.28,0.13,0.38
proftp.csv,0.43,0.58,0.15,0.34,0.34,0.25,0.36,0.42,0.35,0.24,0.22,0.98,0.47,0.27,0.36,0.19,0.33,0.12,0.29
tcvp.csv,0.0,0.17,0.0,0.05,0.15,0.13,0.19,0.15,0.43,0.0,0.23,0.06,0.12,1.0,0.05,0.13,0.05,0.13,0.17
theresa.csv,0.13,0.0,0.86,0.1,0.09,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.22,0.15
uwom.csv,0.37,0.7,0.0,0.47,0.74,0.64,0.52,0.35,0.45,0.17,0.55,0.54,0.74,0.14,0.33,0.61,0.27,0.11,0.95
xapian.csv,0.42,0.42,0.26,0.59,0.72,0.53,0.47,0.48,0.32,0.14,0.41,0.61,0.53,0.17,0.29,0.46,0.92,0.17,0.5
yaprm.csv,0.3,0.36,0.38,0.4,0.45,0.32,0.35,0.55,0.94,0.13,0.37,0.52,0.48,0.22,0.43,0.08,0.34,0.33,0.34
