,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.46,0.51,0.42,0.37,0.42,0.49,0.52,0.44,0.35,0.36,0.41,0.44,0.35,0.51,0.35,0.55,0.43,0.46,0.41
boost-sandbox.csv,0.61,0.0,0.67,0.52,0.64,0.92,0.0,0.47,0.63,0.69,0.54,0.83,0.75,0.56,0.67,0.0,0.87,0.52,0.68
dspace-gsoc.csv,0.6,0.75,0.88,0.77,0.89,0.71,0.97,0.81,0.84,0.4,0.63,0.85,0.62,0.0,0.39,0.58,0.94,0.86,0.99
enlightenment.csv,0.51,0.64,0.5,0.48,0.4,0.6,0.54,0.55,0.39,0.38,0.44,0.59,0.41,0.93,0.42,0.57,0.69,0.7,0.52
fceugc.csv,0.67,0.83,0.86,0.71,0.5,0.65,0.66,0.94,0.76,0.92,0.65,0.45,0.86,0.58,0.9,0.69,0.84,0.88,0.65
gnukeda.csv,0.45,0.59,0.39,0.41,0.36,0.57,0.51,0.46,0.61,0.34,0.36,0.4,0.4,0.4,0.32,0.55,0.61,0.47,0.44
jaolt.csv,0.6,0.57,0.44,0.44,0.42,0.45,0.56,0.68,0.42,0.41,0.44,0.41,0.42,0.8,0.47,0.49,0.51,0.67,0.51
knowledge.csv,0.41,0.44,0.4,0.35,0.4,0.48,0.45,0.39,0.34,0.39,0.43,0.4,0.36,0.37,0.29,0.52,0.48,0.44,0.41
kowari.csv,0.91,0.88,0.86,0.95,0.46,0.67,0.89,0.94,0.9,0.83,0.88,0.49,0.82,0.68,0.67,0.96,0.64,0.86,0.76
lufa-lib.csv,0.77,0.92,0.49,0.71,0.72,0.73,0.75,0.64,0.92,0.83,0.58,0.39,0.61,0.56,0.89,0.76,0.56,0.52,0.66
maidsafe-dht.csv,0.86,0.0,0.7,0.9,0.73,0.67,0.95,0.95,0.9,0.5,0.69,0.8,0.74,0.83,0.67,0.68,0.64,0.69,0.99
pixel-commandos.csv,0.83,0.83,0.0,0.93,0.82,0.8,0.98,0.92,0.83,0.67,0.9,0.89,0.91,0.0,0.75,0.96,0.8,0.75,0.99
playerstage.csv,0.64,0.78,0.5,0.58,0.43,0.88,0.56,0.51,0.52,0.81,0.62,0.74,0.68,0.5,0.61,0.6,0.64,0.51,0.58
proftp.csv,0.89,0.62,0.8,0.68,0.67,0.89,0.72,0.57,0.73,0.49,0.67,0.45,0.61,0.83,0.89,0.55,0.65,0.92,0.75
tcvp.csv,0.83,0.8,0.83,0.93,0.8,0.83,0.98,0.92,0.74,0.9,0.8,0.67,0.86,0.89,0.5,0.92,0.94,0.91,0.98
theresa.csv,0.0,0.0,0.75,0.67,0.67,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.8,0.96
uwom.csv,0.53,0.43,0.79,0.84,0.45,0.49,0.73,0.81,0.58,0.45,0.49,0.5,0.44,0.5,0.77,0.54,0.68,0.51,0.8
xapian.csv,0.59,0.91,0.45,0.5,0.45,0.52,0.6,0.57,0.63,0.39,0.46,0.44,0.68,0.5,0.75,0.67,0.86,0.53,0.56
yaprm.csv,0.63,0.61,0.77,0.74,0.68,0.65,0.75,0.69,0.51,0.44,0.58,0.64,0.7,0.89,0.91,0.95,0.51,0.85,0.63
