,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.9,0.93,0.31,1.0,0.83,1.0,0.1,0.9,0.79,0.99,0.03,0.93
e-bio-flow.csv,0.25,0.27,0.0,0.09,0.46,0.17,0.25,0.2,0.14,0.26,0.41,0.38
freedom-erp.csv,0.1,0.0,0.02,0.0,0.0,0.02,0.05,0.1,0.14,0.01,0.0,0.02
jbasic.csv,0.0,0.27,0.38,0.02,0.34,0.18,0.25,0.22,0.21,0.27,0.19,0.12
jgossipforum.csv,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.01
joustsim.csv,0.1,0.19,0.19,0.11,0.03,0.12,0.0,0.22,0.21,0.33,0.22,0.11
jsidplay2.csv,0.0,0.52,0.44,0.67,0.56,0.55,0.55,0.47,0.86,0.31,0.54,0.66
madman.csv,0.0,0.02,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01
mule.csv,0.2,0.0,0.38,0.09,0.26,0.15,0.3,0.39,0.36,0.25,0.27,0.24
nunit.csv,0.3,0.21,0.27,0.09,0.13,0.15,0.28,0.18,0.0,0.12,0.27,0.0
power-architect.csv,0.85,0.67,0.6,0.79,0.69,0.82,0.75,0.8,0.07,0.88,0.54,0.89
reaper3d.csv,0.45,0.29,0.21,0.42,0.07,0.43,0.58,0.0,0.21,0.0,0.35,0.49
