,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.9,0.93,0.73,1.0,0.83,1.0,0.82,0.9,0.79,0.99,0.03,0.93
e-bio-flow.csv,0.66,0.68,0.0,0.89,0.67,1.01,0.77,0.54,0.74,0.68,0.77,0.61
freedom-erp.csv,0.72,0.97,0.83,1.0,0.01,1.0,1.0,1.01,0.88,1.0,0.98,0.98
jbasic.csv,0.78,0.74,0.86,0.05,0.6,0.63,0.68,0.44,0.72,0.8,0.62,0.66
jgossipforum.csv,1.0,1.0,0.84,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.97,0.95
joustsim.csv,0.97,0.7,0.66,0.8,1.0,0.61,0.0,0.66,0.81,0.71,0.76,0.76
jsidplay2.csv,0.0,0.65,0.55,0.75,0.63,0.68,0.58,0.78,0.88,0.59,0.63,0.83
madman.csv,1.0,0.98,0.91,0.98,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.98
mule.csv,0.63,0.03,0.77,0.78,0.66,0.43,0.62,0.41,0.79,0.67,0.64,0.72
nunit.csv,0.85,0.7,0.72,0.86,0.9,0.81,0.87,0.89,0.89,0.88,0.76,0.03
power-architect.csv,0.87,0.71,0.64,0.81,0.71,0.85,0.76,0.83,0.07,0.88,0.6,0.89
reaper3d.csv,0.86,0.84,0.83,0.75,1.0,0.74,0.93,1.0,0.9,0.12,0.8,0.74
