,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.82,0.76,0.36,0.65,0.77,0.04,0.21,0.27,0.86,0.14,1.0,0.36
e-bio-flow.csv,0.53,0.49,1.0,0.18,0.55,0.0,0.21,0.36,0.42,0.16,0.49,0.36
freedom-erp.csv,0.44,0.05,0.28,0.0,0.99,0.0,0.0,0.0,0.22,0.0,0.04,0.05
jbasic.csv,0.36,0.42,0.25,0.97,0.58,0.09,0.27,0.42,0.46,0.11,0.57,0.38
jgossipforum.csv,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06,0.09
joustsim.csv,0.06,0.45,0.43,0.31,0.0,0.12,1.0,0.27,0.35,0.14,0.42,0.3
jsidplay2.csv,1.0,0.62,0.55,0.55,0.67,0.05,0.34,0.18,0.8,0.19,0.78,0.25
madman.csv,0.0,0.04,0.16,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05
mule.csv,0.55,0.99,0.33,0.34,0.5,0.15,0.29,0.41,0.43,0.17,0.57,0.29
nunit.csv,0.31,0.46,0.37,0.23,0.19,0.05,0.13,0.11,0.2,0.1,0.44,0.99
power-architect.csv,0.76,0.7,0.55,0.61,0.71,0.04,0.3,0.23,0.98,0.15,0.82,0.34
reaper3d.csv,0.38,0.3,0.26,0.42,0.0,0.04,0.12,0.0,0.22,0.93,0.42,0.27
