,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.75,0.62,0.38,0.48,0.63,0.02,0.25,0.15,0.82,0.07,1.0,0.22
e-bio-flow.csv,0.82,0.69,1.0,0.54,0.6,0.0,0.17,0.29,0.88,0.1,0.86,0.27
freedom-erp.csv,0.89,1.0,0.83,0.0,1.0,0.0,0.0,0.0,0.78,0.0,1.0,0.25
jbasic.csv,1.0,0.64,0.26,0.98,0.67,0.05,0.21,0.31,0.85,0.07,0.94,0.42
jgossipforum.csv,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.67
joustsim.csv,0.5,0.73,0.52,0.65,0.0,0.07,1.0,0.21,0.8,0.08,0.9,0.38
jsidplay2.csv,1.0,0.64,0.47,0.48,0.64,0.02,0.21,0.12,0.79,0.11,0.9,0.17
madman.csv,0.0,0.6,0.38,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.33
mule.csv,0.86,1.0,0.33,0.7,0.68,0.08,0.22,0.27,0.76,0.11,0.92,0.27
nunit.csv,0.67,0.71,0.42,0.6,0.55,0.03,0.11,0.1,1.0,0.08,0.89,1.0
power-architect.csv,0.73,0.64,0.43,0.49,0.62,0.02,0.18,0.13,0.98,0.08,0.91,0.21
reaper3d.csv,0.64,0.53,0.35,0.46,0.0,0.02,0.08,0.0,0.7,1.0,0.85,0.19
