,jsidplay2.csv,mule.csv,e-bio-flow.csv,jbasic.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,power-architect.csv,reaper3d.csv,bigdata.csv,nunit.csv
bigdata.csv,0.39,0.39,0.54,0.43,0.3,0.4,0.88,0.4,0.35,0.36,0.42,0.38
e-bio-flow.csv,0.68,0.61,0.6,0.92,0.53,0.97,0.72,0.57,0.71,0.66,0.66,0.59
freedom-erp.csv,0.74,0.75,0.83,0.0,0.42,0.8,0.67,0.8,0.89,0.0,0.83,0.75
jbasic.csv,0.77,0.67,0.56,0.59,0.51,0.98,0.58,0.56,0.6,0.69,0.56,0.97
jgossipforum.csv,0.0,0.0,0.9,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.9,0.67
joustsim.csv,0.75,0.56,0.62,0.7,0.5,0.96,0.82,0.64,0.93,0.64,0.72,0.96
jsidplay2.csv,0.41,0.49,0.49,0.59,0.42,0.63,0.4,0.62,0.32,0.51,0.38,0.41
madman.csv,0.0,0.8,0.88,0.67,0.0,0.0,0.0,0.88,0.0,0.5,0.0,0.67
mule.csv,0.5,0.48,0.47,0.8,0.54,0.94,0.52,0.42,0.52,0.64,0.46,0.67
nunit.csv,0.83,0.58,0.54,0.87,0.95,0.85,0.95,0.9,0.83,0.92,0.78,0.9
power-architect.csv,0.45,0.43,0.46,0.51,0.36,0.48,0.49,0.51,0.41,0.41,0.47,0.4
reaper3d.csv,0.88,0.98,0.94,0.87,0.8,0.77,0.82,0.0,0.9,0.86,0.99,0.68
