,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.07,0.28,0.73,0.43,0.43,0.39,0.58,0.0,0.32,0.31,0.45,0.39,0.43,0.57,0.5
amateur-scrolls.csv,0.71,0.03,0.02,0.23,0.56,0.14,0.08,0.2,0.05,0.06,0.0,0.15,0.0,0.3,0.0
arianne.csv,0.93,0.95,0.75,1.0,0.69,0.26,0.77,1.0,1.0,0.97,0.94,0.88,1.0,0.96,0.92
bl-toolkit.csv,0.14,0.59,0.18,0.71,0.43,0.7,0.4,0.6,0.23,0.44,0.94,0.54,0.98,0.83,0.62
doomlegacy.csv,0.86,0.2,0.73,0.73,0.57,0.45,0.36,1.0,0.09,0.41,0.63,0.44,0.05,0.41,0.54
enlightenment.csv,1.0,1.0,0.24,1.0,0.96,0.98,1.0,1.0,1.0,1.0,0.33,1.0,0.91,1.0,1.0
fritzing.csv,0.86,0.23,0.43,0.28,0.29,0.18,0.3,0.2,0.68,0.31,0.3,0.41,0.26,0.2,0.15
gnukeda.csv,0.14,0.26,0.79,0.85,1.0,0.57,0.86,0.0,0.32,0.25,0.26,0.65,0.37,0.76,1.0
jlinalg.csv,0.14,0.25,0.35,0.64,0.86,0.56,0.65,0.2,0.18,0.19,0.52,0.68,0.48,0.72,0.92
knowledge.csv,0.14,0.35,0.64,0.56,0.58,0.32,0.82,0.0,0.68,0.38,0.53,0.65,0.72,0.57,0.73
massiv.csv,0.0,0.02,0.07,0.04,0.17,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.24,0.0
playerstage.csv,0.07,0.23,0.39,0.49,0.57,0.26,0.2,0.4,0.14,0.22,0.41,0.31,0.18,0.28,0.12
psycle.csv,0.21,0.34,0.8,0.71,0.55,0.53,0.87,0.4,0.36,0.44,0.78,0.64,0.63,0.59,0.54
superwaba.csv,0.14,0.17,0.25,0.48,0.25,0.37,0.19,0.2,0.23,0.44,0.15,0.43,0.63,0.7,0.5
wxcrp.csv,0.93,0.86,0.84,0.28,0.84,0.89,0.82,0.8,0.95,0.81,0.56,0.92,0.78,0.93,0.81
