,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,tradelink.csv,google-gears.csv,glelite.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.6,0.98,0.57,0.71,0.6,0.6,0.5,0.75,0.89,0.56,0.75,0.67,0.96,0.9,0.71,0.72
bdbbasic.csv,0.39,0.7,0.71,0.39,0.57,0.3,0.5,0.8,0.5,0.3,0.82,0.45,0.39,0.98,0.8,0.58
crux-framework.csv,0.66,0.56,0.95,0.68,0.83,0.6,0.47,0.95,0.57,0.95,0.92,0.8,0.0,0.79,0.82,0.86
echongl.csv,0.49,0.97,0.43,0.43,0.44,0.49,0.65,0.73,0.43,0.36,0.71,0.53,0.54,0.38,0.53,0.79
etherboot.csv,0.92,0.79,0.0,0.5,0.61,0.74,0.88,0.58,0.83,0.0,0.33,0.94,0.59,0.0,0.39,0.37
freebios.csv,0.58,0.96,0.73,0.65,0.74,0.94,0.65,0.83,0.68,0.6,0.45,0.69,0.74,0.99,0.55,0.9
gebr.csv,0.41,0.38,0.39,0.43,0.39,0.49,0.39,0.42,0.4,0.29,0.34,0.44,0.48,0.39,0.42,0.41
glelite.csv,0.4,0.37,0.39,0.45,0.42,0.49,0.43,0.41,0.4,0.3,0.34,0.44,0.5,0.39,0.43,0.42
gnukeda.csv,0.46,0.52,0.56,0.53,0.45,0.43,0.62,0.55,0.92,0.44,0.56,0.47,0.67,0.97,0.43,0.43
google-gears.csv,0.44,0.47,0.55,0.52,0.44,0.5,0.41,0.48,0.4,0.3,0.47,0.51,0.53,0.35,0.52,0.43
gstreamer.csv,0.42,0.41,0.54,0.47,0.41,0.45,0.43,0.46,0.39,0.34,0.42,0.49,0.53,0.41,0.45,0.41
jnode.csv,0.5,0.73,0.81,0.59,0.83,0.5,0.88,0.85,0.83,0.9,0.86,0.94,0.0,0.92,0.87,0.5
metacosm.csv,0.79,0.49,0.43,0.68,0.76,0.93,0.93,0.53,0.8,0.57,0.49,0.59,0.61,0.78,0.64,0.46
openmeetings.csv,0.49,0.54,0.44,0.67,0.41,0.37,0.75,0.51,0.6,0.36,0.62,0.6,0.46,0.53,0.5,0.42
tradelink.csv,0.92,0.49,0.6,0.62,0.85,0.6,0.51,0.47,0.52,0.38,0.59,0.83,0.62,0.38,0.55,0.47
wxcrp.csv,0.46,0.4,0.39,0.47,0.41,0.34,0.62,0.46,0.48,0.35,0.68,0.51,0.5,0.38,0.55,0.46
