,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.36,0.44,0.42,0.42,0.43,0.45,0.54,0.33,0.58,0.4,0.62,0.33,0.4,0.68,0.64
bl-toolkit.csv,0.54,0.79,0.49,0.44,0.62,0.47,0.41,0.64,0.46,0.55,0.48,0.49,0.8,0.39,0.44
bochs.csv,0.46,0.49,0.4,0.44,0.64,0.42,0.89,0.4,0.56,0.57,0.42,0.46,0.39,0.37,0.91
emeraldemu.csv,0.55,0.55,0.48,0.54,0.71,0.92,0.8,0.5,0.62,0.7,0.5,0.8,0.45,0.45,0.8
fbmanager.csv,0.45,0.52,0.68,0.96,0.55,0.48,0.45,0.45,0.94,0.46,0.56,0.95,0.42,0.43,0.71
modellus.csv,0.86,0.76,0.57,0.46,0.88,0.58,0.52,0.55,0.5,0.58,0.65,0.42,0.41,0.34,0.62
openmalaria.csv,0.35,0.44,0.37,0.34,0.46,0.4,0.4,0.34,0.46,0.37,0.41,0.34,0.37,0.31,0.5
pi-qmc.csv,0.47,0.51,0.45,0.57,0.59,0.4,0.37,0.36,0.55,0.41,0.67,0.41,0.4,0.36,0.52
plplot.csv,0.75,0.92,0.96,0.65,0.95,0.94,0.47,0.93,0.65,0.56,0.94,0.51,0.92,0.37,0.71
powerfolder.csv,0.41,0.52,0.42,0.46,0.7,0.92,0.7,0.36,0.53,0.71,0.5,0.52,0.38,0.94,0.52
psycle.csv,0.41,0.47,0.42,0.36,0.53,0.5,0.43,0.35,0.42,0.43,0.42,0.37,0.36,0.34,0.52
qgis.csv,0.5,0.57,0.5,0.56,0.65,0.9,0.0,0.46,0.76,0.6,0.51,0.75,0.42,0.49,0.62
sbml.csv,0.38,0.42,0.39,0.35,0.56,0.41,0.35,0.39,0.41,0.47,0.41,0.37,0.36,0.33,0.59
unimrcp.csv,0.46,0.48,0.52,0.56,0.62,0.88,0.47,0.5,0.45,0.47,0.53,0.46,0.39,0.64,0.52
wow-qrsk.csv,0.5,0.97,0.53,0.58,0.7,0.43,0.92,0.83,0.59,0.79,0.92,0.49,0.91,0.78,0.0
