,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.76,0.87,0.66,0.5,0.65,0.69,0.46,0.79,0.42,0.44,0.86,0.55,0.72,0.16,0.86
bl-toolkit.csv,0.46,0.53,0.4,0.22,0.38,0.92,0.27,0.52,0.13,0.23,0.39,0.59,0.47,0.05,0.27
bochs.csv,0.54,0.67,0.49,0.38,0.6,0.71,0.56,0.78,0.29,0.57,0.48,0.56,0.63,0.04,0.55
emeraldemu.csv,0.7,0.88,0.65,0.62,0.56,0.75,0.6,0.92,0.4,0.6,0.56,0.59,0.82,0.05,0.8
fbmanager.csv,0.79,0.85,0.79,0.92,0.42,0.67,0.4,0.94,0.94,0.46,0.53,0.79,0.74,0.08,0.5
modellus.csv,0.71,0.82,0.68,0.38,0.71,0.88,0.48,0.87,0.35,0.42,0.65,0.8,0.71,0.06,0.54
openmalaria.csv,0.62,0.82,0.56,0.35,0.6,0.73,0.43,0.83,0.36,0.37,0.77,0.56,0.65,0.05,0.58
pi-qmc.csv,0.53,0.72,0.52,0.25,0.56,0.71,0.3,0.81,0.25,0.41,0.63,0.68,0.66,0.04,0.61
plplot.csv,0.5,0.68,0.54,0.35,0.4,1.0,0.29,0.79,0.17,0.56,0.38,0.61,0.59,0.02,0.29
powerfolder.csv,0.62,0.85,0.59,0.45,0.61,0.83,0.5,0.83,0.37,0.29,0.74,0.47,0.67,0.31,0.7
psycle.csv,0.62,0.83,0.54,0.36,0.52,0.8,0.38,0.76,0.27,0.4,0.54,0.57,0.61,0.05,0.52
qgis.csv,0.75,0.77,0.72,0.51,0.54,0.6,0.0,0.83,0.51,0.35,0.51,0.57,0.63,0.04,0.57
sbml.csv,0.65,0.76,0.54,0.34,0.42,0.75,0.37,0.91,0.22,0.53,0.61,0.55,0.7,0.03,0.64
unimrcp.csv,0.79,0.82,0.6,0.61,0.62,0.75,0.5,0.92,0.3,0.53,0.65,0.55,0.64,0.04,0.52
wow-qrsk.csv,0.5,0.9,0.53,0.52,0.66,0.79,0.69,0.67,0.42,0.71,0.54,0.73,0.73,0.17,0.0
