,kwave.csv,atlc.csv,theresa.csv,thrust.csv,yaprm.csv,tktoolkit.csv,iaml.csv,cubefs.csv,rtrt-on-gpu.csv,bwapi.csv,xstore.csv,freewrl.csv,jrdf.csv,oscarmcmaster.csv,arm-webradio.csv
arm-webradio.csv,190.0,97.5,441.0,85.5,98.5,321.0,93.5,196.0,562.0,99.0,571.0,158.0,0.0,678.0,98.5
atlc.csv,94.5,97.5,1671.0,285.5,86.5,296.0,99.0,98.5,169.0,97.5,288.5,98.5,1794.5,98.5,91.5
bwapi.csv,287.5,97.5,2195.0,382.0,98.5,296.0,99.0,98.5,870.0,99.0,481.5,197.5,1794.5,197.5,98.5
cubefs.csv,287.5,97.5,2195.0,382.0,98.5,296.0,99.0,194.0,870.0,82.5,94.5,447.5,136.0,197.5,98.5
freewrl.csv,287.5,97.5,1698.0,278.5,98.5,197.5,98.5,196.0,810.0,99.0,580.0,98.5,1124.5,673.5,98.5
iaml.csv,175.0,272.5,59.5,0.0,81.5,98.5,193.0,94.5,184.5,63.5,91.5,463.0,400.5,188.0,175.0
jrdf.csv,341.0,97.5,1483.5,622.5,98.5,1316.0,99.0,97.5,870.0,73.5,533.0,64.5,257.5,197.5,80.5
kwave.csv,173.0,97.5,1522.0,119.0,95.5,296.0,99.0,97.5,1896.0,94.5,384.0,83.5,1040.0,197.5,98.5
oscarmcmaster.csv,190.0,97.5,566.5,190.0,95.5,732.5,98.5,197.0,112.0,97.5,750.0,137.0,1226.0,387.5,98.5
rtrt-on-gpu.csv,167.0,97.5,1158.5,189.0,98.5,98.5,93.5,97.5,389.5,99.0,550.0,342.0,159.0,581.5,98.5
theresa.csv,610.5,97.5,414.5,31.0,95.5,1220.5,98.5,97.5,554.5,94.5,91.5,423.5,155.0,1148.5,98.5
thrust.csv,190.0,72.5,405.5,93.5,98.5,186.0,99.0,197.0,115.0,99.0,765.0,197.5,1606.5,384.0,97.5
tktoolkit.csv,192.0,90.5,418.5,719.0,97.5,552.0,197.5,197.0,1038.5,99.0,744.0,114.0,552.5,197.5,97.5
xstore.csv,192.0,97.5,747.0,96.5,234.5,296.0,98.5,97.5,1053.0,92.5,190.0,47.5,741.5,197.5,98.5
yaprm.csv,695.0,0.0,478.5,316.0,98.5,935.0,98.5,197.0,439.5,95.5,187.0,197.5,1627.5,98.5,466.0
