,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.48,0.97,0.86,0.8,0.88,0.89,0.55,0.72,0.94,0.68,0.58,0.72
blue-c.csv,0.45,0.47,0.53,0.62,0.49,0.54,0.6,0.45,0.51,0.54,0.4,0.5
cities3d.csv,0.38,0.72,0.97,0.38,0.9,0.0,0.58,0.45,0.61,0.5,0.5,0.0
dynalloy.csv,0.5,0.66,0.76,0.7,0.55,0.63,0.43,0.72,0.59,0.53,0.44,0.65
firebird.csv,0.64,0.43,0.44,0.67,0.51,0.48,0.48,0.54,0.52,0.57,0.31,0.46
hydrogen.csv,0.37,0.39,0.39,0.43,0.44,0.56,0.34,0.42,0.52,0.0,0.0,0.44
nosleepsoftware.csv,0.92,0.75,0.93,0.53,0.94,0.5,0.99,0.67,0.0,0.8,0.5,0.88
openmalaria.csv,0.35,0.4,0.33,0.36,0.61,0.41,0.51,0.33,0.51,0.42,0.29,0.38
popeye-chess.csv,0.37,0.64,0.49,0.48,0.46,0.44,0.98,0.39,0.5,0.53,0.41,0.52
qgo.csv,0.41,0.33,0.34,0.36,0.41,0.43,0.29,0.36,0.43,0.41,0.29,0.38
xmoto.csv,0.75,0.4,0.47,0.35,0.46,0.42,0.99,0.39,0.49,0.45,0.45,0.43
yield.csv,0.41,0.41,0.34,0.36,0.47,0.49,0.34,0.35,0.54,0.42,0.31,0.4
