,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.56,0.31,0.44,0.0,0.47,0.38,0.15,0.62,0.06,0.44,0.71,0.49
blue-c.csv,0.53,0.56,0.58,0.0,0.7,0.69,0.26,0.81,0.25,0.6,0.68,0.61
cities3d.csv,0.59,0.28,0.27,0.38,0.19,0.06,0.3,0.6,0.35,0.05,0.36,0.05
dynalloy.csv,0.47,0.68,0.48,0.05,0.65,0.56,0.17,0.58,0.21,0.49,0.64,0.47
firebird.csv,0.58,0.36,0.6,0.06,0.62,0.75,0.28,0.56,0.43,0.57,0.49,0.59
hydrogen.csv,0.63,0.53,0.69,0.41,0.65,0.61,0.16,0.71,0.51,0.0,0.0,0.62
nosleepsoftware.csv,0.38,0.07,0.28,0.67,0.13,0.0,0.06,0.06,0.0,0.13,0.0,0.09
openmalaria.csv,0.63,0.36,0.65,0.38,0.44,0.63,0.28,0.7,0.41,0.71,0.58,0.62
popeye-chess.csv,0.6,0.36,0.51,0.1,0.72,0.65,0.41,0.68,0.41,0.56,0.64,0.63
qgo.csv,0.87,0.38,0.66,0.4,0.62,0.63,0.17,0.67,0.4,0.67,0.55,0.6
xmoto.csv,0.12,0.42,0.53,0.36,0.66,0.67,0.26,0.64,0.37,0.67,0.34,0.68
yield.csv,0.61,0.53,0.68,0.4,0.75,0.74,0.16,0.72,0.36,0.6,0.49,0.65
