,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.27,0.13,0.22,0.23,0.41,0.78,1.0,0.45,0.17,0.13,0.75,0.06,0.15,0.6
cme.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0
hydrate.csv,0.08,0.05,0.09,0.0,0.04,0.0,0.03,0.55,0.1,0.03,0.88,0.04,0.91,0.0
ivef-sdk.csv,0.76,0.59,0.59,1.0,0.81,1.0,0.24,0.0,0.83,0.74,0.0,0.57,0.03,0.8
jmri.csv,0.65,0.64,0.97,0.37,0.48,0.91,0.52,0.23,0.93,0.51,0.5,0.35,0.45,1.0
jython.csv,0.58,0.49,0.56,0.7,0.26,0.43,0.82,1.0,0.73,0.36,0.5,0.64,0.27,0.4
kdenlive.csv,0.99,0.65,0.4,0.2,0.3,0.12,0.15,0.91,0.67,0.38,0.88,0.39,0.94,0.6
opentibia.csv,0.9,1.0,0.26,0.9,0.19,0.22,0.64,0.55,0.57,0.18,0.5,0.29,0.52,0.6
projectfactory.csv,0.28,0.4,0.27,0.3,0.41,0.06,0.12,0.86,0.4,0.95,0.75,0.25,0.82,0.4
runuomondains.csv,0.18,0.07,0.22,0.03,0.07,0.34,0.0,0.41,0.1,0.1,0.88,0.11,0.33,0.0
somap.csv,1.0,0.98,0.97,1.0,0.96,1.0,1.0,1.0,1.0,0.97,1.0,0.99,1.0,0.6
taverna.csv,0.28,0.25,0.14,0.33,0.89,0.03,0.3,0.05,0.33,0.13,0.0,0.08,0.0,0.8
unbvision.csv,0.63,0.59,0.89,0.37,0.07,0.91,0.12,0.91,0.93,0.59,0.25,0.6,0.21,1.0
x-ray-mule.csv,0.31,0.14,0.34,0.93,0.41,0.06,0.24,0.41,0.73,0.74,0.0,0.42,0.33,0.4
