,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.36,0.23,0.31,0.34,0.44,0.86,1.0,0.13,0.21,0.21,0.32,0.1,0.24,0.21
cme.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,1.0
hydrate.csv,0.15,0.09,0.16,0.0,0.06,0.0,0.06,0.14,0.18,0.05,0.33,0.08,0.95,0.0
ivef-sdk.csv,0.73,0.73,0.52,0.82,0.51,1.0,0.25,0.0,0.42,0.59,0.0,0.69,0.06,0.2
jmri.csv,0.63,0.76,0.97,0.45,0.37,0.78,0.49,0.23,0.45,0.52,0.29,0.52,0.56,0.24
jython.csv,0.64,0.63,0.59,0.72,0.22,0.59,0.67,1.0,0.44,0.43,0.15,0.74,0.37,0.12
kdenlive.csv,0.99,0.76,0.45,0.27,0.3,0.18,0.2,0.21,0.49,0.43,0.26,0.56,0.81,0.18
opentibia.csv,0.8,0.99,0.31,0.71,0.23,0.34,0.71,0.14,0.33,0.25,0.17,0.45,0.58,0.27
projectfactory.csv,0.4,0.56,0.38,0.42,0.38,0.09,0.17,0.21,0.36,0.96,0.28,0.4,0.77,0.14
runuomondains.csv,0.3,0.13,0.34,0.06,0.11,0.47,0.0,0.43,0.17,0.17,0.93,0.2,0.46,0.0
somap.csv,0.78,0.92,0.63,0.76,0.5,0.82,0.67,0.23,0.41,0.64,0.21,0.99,0.78,0.1
taverna.csv,0.42,0.4,0.22,0.48,0.94,0.06,0.39,0.09,0.38,0.2,0.0,0.15,0.0,0.4
unbvision.csv,0.65,0.71,0.61,0.45,0.11,0.94,0.16,0.61,0.95,0.52,0.17,0.71,0.35,0.23
x-ray-mule.csv,0.42,0.25,0.38,0.97,0.35,0.11,0.28,0.43,0.34,0.59,0.0,0.57,0.43,0.15
