,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.0,0.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0
cme.csv,0.0,94.0,456.0,49.0,79.0,96.0,67.0,169.0,114.0,81.0,66.0,77.0,0.0,0.0
hydrate.csv,2.0,0.0,2.0,49.0,5.0,96.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,56.0
ivef-sdk.csv,1.0,0.0,18.0,1.0,2.0,0.0,10.0,169.0,6.0,1.0,66.0,0.0,0.0,29.0
jmri.csv,5.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,10.0
jython.csv,1.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0,7.0,0.0,2.0,27.0
kdenlive.csv,0.0,2.0,4.0,3.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
opentibia.csv,1.0,0.0,9.0,1.0,2.0,0.0,2.0,1.0,11.0,3.0,2.0,0.0,0.0,8.0
projectfactory.csv,1.0,0.0,0.0,1.0,1.0,18.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0
runuomondains.csv,0.0,0.0,0.0,1.0,3.0,0.0,67.0,3.0,2.0,0.0,0.0,0.0,3.0,56.0
somap.csv,3.0,0.0,18.0,0.0,2.0,1.0,10.0,1.0,4.0,1.0,7.0,0.0,3.0,24.0
taverna.csv,3.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,66.0,0.0,51.0,9.0
unbvision.csv,2.0,0.0,18.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,12.0,0.0,0.0,9.0
x-ray-mule.csv,3.0,0.0,16.0,0.0,10.0,0.0,2.0,2.0,5.0,2.0,66.0,0.0,0.0,19.0
