,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.97,0.92,0.87,0.91,0.78,0.74,0.7,0.25,0.94,0.88,0.5,0.8,0.88,0.52
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
hydrate.csv,0.89,0.8,0.97,0.0,0.88,0.8,0.5,0.27,0.75,0.67,0.44,0.67,0.4,0.88
ivef-sdk.csv,0.45,0.5,0.62,0.49,0.53,0.61,0.7,0.0,0.47,0.5,0.5,0.55,0.0,0.56
jmri.csv,0.49,0.51,0.58,0.47,0.58,0.46,0.59,0.95,0.49,0.55,0.7,0.64,0.57,0.41
jython.csv,0.49,0.62,0.63,0.68,0.69,0.97,0.5,0.95,0.57,0.65,0.6,0.5,0.75,0.66
kdenlive.csv,0.44,0.43,0.53,0.71,0.65,0.58,0.53,0.26,0.51,0.53,0.4,0.54,0.34,0.46
opentibia.csv,0.38,0.43,0.65,0.41,0.82,0.65,0.81,0.28,0.45,0.67,0.54,0.71,0.54,0.76
projectfactory.csv,0.82,0.83,0.79,0.92,0.52,0.64,0.67,0.26,0.49,0.61,0.49,0.68,0.41,0.46
runuomondains.csv,0.94,0.83,0.97,0.75,0.89,0.87,0.5,0.95,0.8,0.86,0.86,0.88,0.6,0.58
somap.csv,0.42,0.44,0.39,0.45,0.4,0.43,0.42,0.26,0.49,0.39,0.43,0.35,0.37,0.42
taverna.csv,0.72,0.68,0.98,0.75,0.79,0.5,0.89,0.0,0.64,0.92,0.0,0.83,0.0,0.73
unbvision.csv,0.61,0.56,0.42,0.74,0.9,0.65,0.69,0.95,0.76,0.51,0.8,0.47,0.86,0.39
x-ray-mule.csv,0.61,0.92,0.8,0.71,0.61,0.75,0.54,0.95,0.52,0.5,0.88,0.56,0.67,0.62
