,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,runuomondains.csv,somap.csv,hydrate.csv,cme.csv
algebsql.csv,0.38,0.08,0.19,0.2,0.23,0.07,0.0,0.86,0.15,0.07,0.41,0.17,0.16,0.38
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.08,0.08,0.07,0.05,0.13,0.17,0.03,0.92,0.01,0.05,0.46,0.0,0.0,0.15
ivef-sdk.csv,0.56,0.25,0.6,0.65,0.7,0.0,0.63,0.0,0.75,0.72,0.03,1.0,0.0,0.62
jmri.csv,0.74,0.33,0.02,0.4,0.57,0.93,0.57,0.11,0.78,0.42,0.27,0.0,0.32,0.62
jython.csv,0.41,0.58,0.29,0.35,0.55,0.1,0.6,0.0,0.56,0.28,0.69,1.0,0.37,0.52
kdenlive.csv,0.0,0.5,0.31,0.4,0.34,0.53,0.34,0.99,0.36,0.35,0.64,0.0,0.68,0.48
opentibia.csv,0.67,0.08,0.4,0.95,0.23,0.17,0.14,0.93,0.67,0.26,0.59,0.0,0.47,0.27
projectfactory.csv,0.21,0.17,0.12,0.2,0.38,0.6,0.31,0.92,0.29,0.02,0.49,0.17,0.53,0.42
runuomondains.csv,0.08,0.0,0.09,0.15,0.13,0.23,0.06,0.07,0.02,0.07,0.0,0.0,0.21,0.37
somap.csv,1.0,1.0,0.99,0.95,0.96,1.0,0.94,1.0,1.0,0.98,1.0,0.0,1.0,0.96
taverna.csv,0.13,0.08,0.14,0.1,0.0,0.0,0.23,0.0,0.14,0.16,0.02,0.0,0.0,0.21
unbvision.csv,0.56,0.5,0.91,0.4,0.15,0.07,0.34,0.16,0.01,0.6,0.22,1.0,0.0,0.63
x-ray-mule.csv,0.28,0.08,0.4,0.0,0.47,0.0,0.46,0.07,0.89,0.72,0.14,0.67,0.37,0.37
