,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.22,0.31,0.13,0.46,0.67,0.5,0.48,0.39,0.17,0.64,0.14,0.25
gamestone.csv,0.47,0.3,0.18,0.35,0.56,0.5,0.41,0.4,0.24,1.0,0.1,0.24
geochat.csv,0.0,0.29,0.12,0.44,0.64,0.35,0.27,0.2,0.18,0.16,0.32,0.42
igarden.csv,0.17,0.45,0.15,0.47,0.38,0.37,0.38,0.41,0.25,0.64,0.33,0.24
ingex.csv,0.15,0.22,0.16,0.29,0.5,0.52,0.31,0.33,0.21,0.27,0.28,0.32
lphant.csv,0.29,0.3,0.17,0.3,0.67,0.47,0.41,0.64,0.21,0.57,0.33,0.3
nabu-library.csv,0.21,0.3,0.22,0.16,0.79,0.39,0.0,0.25,0.0,0.57,0.24,0.22
nebuladevice.csv,0.21,0.4,0.0,0.27,0.45,0.4,0.07,0.14,0.33,0.42,0.27,0.0
owlapi.csv,0.0,0.3,0.39,0.25,0.68,0.4,0.75,0.34,0.22,0.33,0.22,0.29
pi-qmc.csv,0.29,0.32,0.19,0.28,0.66,0.39,0.38,0.42,0.18,0.69,0.25,0.26
trinitycore.csv,0.19,0.35,0.0,0.27,0.59,0.33,0.21,0.75,0.24,0.29,0.36,0.27
twostep.csv,0.26,0.36,0.19,0.29,0.5,0.4,0.76,0.43,0.18,0.58,0.26,0.24
