,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.13,0.03,0.27,0.71,0.71,0.74,0.76,0.21,0.39,0.19,0.61,0.78,0.12
bscwweasel.csv,0.01,0.02,0.31,0.19,0.38,0.39,0.2,0.01,0.47,0.27,0.06,0.3,0.06
capcode.csv,0.01,0.77,0.85,0.75,0.27,0.07,0.28,0.48,0.13,0.15,0.73,0.4,0.25
emite.csv,0.68,0.52,0.3,0.23,0.42,0.26,0.35,0.01,0.22,0.07,0.18,0.38,0.31
extprosys.csv,0.97,0.84,0.9,0.44,0.84,0.28,0.75,0.0,0.75,0.98,0.51,0.52,0.12
lamp.csv,0.7,0.24,0.12,0.54,0.98,0.63,0.8,1.0,0.31,0.98,0.43,0.25,1.0
retromenu.csv,0.16,0.25,0.2,0.17,0.22,0.13,0.48,0.25,0.16,0.42,0.43,0.08,0.19
smbopensoft.csv,0.2,0.97,0.9,0.59,0.73,0.24,0.35,0.4,0.35,0.24,0.9,0.7,0.88
snakeyaml.csv,0.46,0.43,0.18,0.2,0.36,0.21,0.51,0.26,0.49,0.32,0.2,0.02,0.38
stuproa-cims.csv,0.0,0.02,0.22,0.15,0.49,0.02,0.14,1.0,0.18,0.0,0.09,0.22,0.0
ta3d.csv,0.0,0.0,0.2,0.15,0.47,0.05,0.25,0.0,0.06,0.71,0.0,0.22,0.31
thout.csv,0.41,1.0,0.19,0.27,0.78,0.97,0.99,0.98,0.99,1.0,0.66,0.98,0.81
vrjuggler.csv,0.43,0.2,0.14,0.65,0.16,0.01,0.32,0.0,0.13,0.39,0.19,0.12,0.0
