,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.97,1.0,0.67,0.77,0.88,0.79,0.78,0.43,0.57,0.89,1.08,0.81,0.73
bscwweasel.csv,0.98,0.86,0.48,0.36,0.57,0.8,0.62,1.0,0.65,0.74,0.93,0.89,0.86
capcode.csv,0.97,0.77,0.86,0.76,0.63,0.91,0.38,0.83,0.78,1.01,0.73,0.73,0.7
emite.csv,0.68,0.83,0.6,0.69,0.67,0.68,0.75,0.81,0.83,0.94,0.55,0.54,0.75
extprosys.csv,0.97,0.92,0.91,0.6,0.87,0.45,0.75,0.95,0.82,0.98,0.61,0.67,0.7
lamp.csv,0.78,0.43,0.67,0.67,0.98,0.66,0.82,1.0,0.55,0.98,0.65,0.78,1.0
retromenu.csv,0.46,0.5,0.54,0.72,0.33,0.79,0.69,0.55,0.83,0.81,0.47,0.81,0.71
smbopensoft.csv,0.28,0.97,0.92,0.81,0.85,0.79,0.9,0.69,0.82,1.03,0.9,0.73,0.91
snakeyaml.csv,0.56,0.71,0.62,0.63,0.49,0.73,0.77,0.55,0.72,0.82,0.35,0.97,0.71
stuproa-cims.csv,1.0,0.86,0.61,0.67,0.52,0.98,0.76,1.0,0.47,1.0,0.71,0.65,1.0
ta3d.csv,1.0,1.0,0.69,0.67,0.49,0.98,0.79,1.0,0.71,0.71,0.93,0.78,0.51
thout.csv,0.68,1.0,0.47,0.8,0.83,0.97,0.99,0.97,0.99,1.0,0.69,0.98,0.84
vrjuggler.csv,0.73,0.74,0.94,0.89,0.87,0.98,0.97,1.0,0.94,0.54,0.87,0.91,0.91
