,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.65,0.98,0.67,0.98,0.5,0.67,0.6,0.0,0.75,0.88,0.88,0.57,0.0,0.88,0.79,0.69,0.91
botsnscouts.csv,0.95,0.64,0.5,0.94,0.82,0.91,0.44,0.86,0.94,0.8,0.9,0.93,0.36,0.81,0.48,0.95,0.88
cities3d.csv,0.79,0.99,0.93,0.97,0.54,0.94,0.83,0.89,0.67,0.79,0.84,0.75,0.5,0.72,0.87,0.76,0.9
dynalloy.csv,0.71,0.37,0.42,0.35,0.42,0.34,0.37,0.36,0.45,0.83,0.44,0.39,0.33,0.44,0.36,0.4,0.39
electric-core.csv,0.56,0.84,0.57,0.56,0.47,0.64,0.57,0.4,0.46,0.65,0.62,0.51,0.48,0.62,0.58,0.67,0.63
findbugs.csv,0.7,0.56,0.46,0.53,0.48,0.55,0.55,0.58,0.54,0.65,0.66,0.42,0.54,0.4,0.64,0.71,0.83
img-browse-sort.csv,0.56,0.54,0.92,0.6,0.62,0.6,0.56,0.7,0.77,0.5,0.71,0.46,0.77,0.59,0.62,0.54,0.8
jparsec.csv,0.36,0.36,0.45,0.35,0.39,0.3,0.38,0.35,0.43,0.34,0.43,0.58,0.33,0.37,0.32,0.78,0.35
moast.csv,0.9,0.9,0.0,0.98,0.5,0.71,0.78,0.78,0.5,0.0,0.94,0.94,0.8,0.0,0.88,0.43,0.0
mptvseries.csv,0.65,0.67,0.78,0.38,0.58,0.45,0.57,0.38,0.65,0.5,0.84,0.39,0.88,0.61,0.58,0.62,0.82
mvnforum.csv,0.9,0.98,0.95,0.94,0.67,0.74,0.83,0.94,0.98,0.8,0.85,0.49,0.75,0.93,0.89,0.67,0.92
nosleepsoftware.csv,0.86,0.58,0.71,0.76,0.82,0.82,0.86,0.67,0.61,0.83,0.76,0.87,0.86,0.69,0.71,0.96,0.67
ogre.csv,0.39,0.36,0.43,0.34,0.37,0.31,0.32,0.34,0.43,0.35,0.43,0.39,0.31,0.38,0.32,0.39,0.39
openfrag.csv,0.43,0.36,0.47,0.37,0.37,0.33,0.37,0.47,0.54,0.37,0.52,0.4,0.33,0.41,0.34,0.4,0.39
qdvdauthor.csv,0.89,0.55,0.56,0.94,0.45,0.48,0.67,0.55,0.8,0.49,0.51,0.49,0.58,0.45,0.59,0.71,0.62
sumatrapdf.csv,0.47,0.44,0.72,0.5,0.43,0.37,0.38,0.65,0.59,0.44,0.55,0.39,0.36,0.45,0.4,0.4,0.42
zxing.csv,0.55,0.76,0.48,0.48,0.5,0.48,0.67,0.0,0.56,0.43,0.53,0.8,0.53,0.35,0.43,0.56,0.41
