,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.5,0.97,0.54,0.33,0.62,0.63,0.5,0.42,0.59,0.67,0.6,0.64,0.6
bibletime.csv,0.5,0.65,0.6,0.56,0.59,0.64,0.41,0.56,0.67,0.6,0.55,0.4,1.0
boost.csv,0.5,0.54,0.35,0.56,0.59,0.37,0.51,0.98,0.27,0.5,0.58,0.55,0.64
codepurge.csv,0.43,0.19,0.11,0.42,0.24,0.52,0.09,0.09,0.31,0.37,0.13,0.97,0.17
etics.csv,0.93,0.66,0.66,0.59,0.44,0.69,0.57,0.65,0.62,0.6,0.57,0.25,0.51
gusanos.csv,0.56,0.52,0.59,0.68,0.66,0.57,0.68,0.54,0.99,0.64,0.6,0.71,0.56
kvs.csv,0.35,0.34,0.1,0.48,1.0,0.51,0.36,0.1,0.34,0.5,0.13,0.05,0.17
mcore3d.csv,0.54,0.52,0.98,0.68,0.65,0.51,0.57,0.5,0.53,0.54,0.65,0.48,0.62
modellus.csv,0.43,0.33,0.37,0.47,0.18,0.51,0.95,0.28,0.23,0.26,0.5,0.15,0.25
monetdb.csv,0.39,0.53,0.47,0.55,0.43,0.93,0.52,0.49,0.5,0.66,0.56,0.42,0.36
projecteqemu.csv,0.43,0.39,0.27,0.67,0.18,0.5,0.36,0.32,0.4,0.98,0.58,0.15,0.37
pydev.csv,0.58,0.21,0.14,0.3,0.43,0.39,0.53,0.34,0.28,0.46,0.98,0.2,0.18
xbplayer.csv,0.43,0.28,0.31,0.98,0.39,0.35,0.41,0.3,0.52,0.49,0.37,0.5,0.24
