,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.0,0.0,1.0,5.0,9.0,1.0,2.0,1.0,2.0,0.0,3.0,11.0,1.0
bibletime.csv,0.0,0.0,0.0,10.0,10.0,4.0,2.0,1.0,2.0,0.0,1.0,31.0,0.0
boost.csv,0.0,0.0,0.0,13.0,11.0,3.0,2.0,0.0,3.0,0.0,2.0,20.0,0.0
codepurge.csv,6.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,7.0,5.0,0.0,1.0
etics.csv,0.0,0.0,2.0,9.0,18.0,3.0,4.0,4.0,2.0,1.0,1.0,16.0,1.0
gusanos.csv,8.0,1.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,8.0,0.0
kvs.csv,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,9.0,4.0,0.0
mcore3d.csv,7.0,0.0,0.0,4.0,2.0,10.0,1.0,0.0,3.0,4.0,0.0,17.0,0.0
modellus.csv,1.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
monetdb.csv,15.0,0.0,0.0,13.0,9.0,0.0,0.0,2.0,3.0,0.0,1.0,30.0,0.0
projecteqemu.csv,3.0,1.0,0.0,10.0,0.0,0.0,2.0,0.0,3.0,0.0,7.0,2.0,0.0
pydev.csv,0.0,2.0,4.0,11.0,10.0,3.0,2.0,7.0,4.0,5.0,0.0,1.0,2.0
xbplayer.csv,1.0,0.0,0.0,0.0,4.0,2.0,3.0,4.0,1.0,0.0,3.0,13.0,0.0
