,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,monetdb.csv,modellus.csv,boost.csv,gusanos.csv,projecteqemu.csv,pydev.csv,codepurge.csv,bibletime.csv
badtrinity-zero.csv,0.82,0.03,0.68,0.79,0.71,0.69,0.69,0.75,0.55,0.59,0.67,0.57,0.66
bibletime.csv,0.82,0.69,0.73,0.78,0.73,0.63,0.88,0.78,0.56,0.7,0.79,0.92,0.0
boost.csv,0.82,0.79,0.93,0.75,0.74,0.89,0.82,0.03,0.94,0.83,0.74,0.77,0.67
codepurge.csv,0.63,0.84,0.91,0.7,0.81,0.56,0.93,0.93,0.73,0.69,0.9,0.04,0.88
etics.csv,0.08,0.65,0.52,0.75,0.82,0.61,0.75,0.6,0.69,0.67,0.76,0.8,0.81
gusanos.csv,0.58,0.58,0.56,0.57,0.55,0.57,0.55,0.62,0.04,0.6,0.66,0.53,0.69
kvs.csv,0.71,0.74,0.93,0.67,0.0,0.59,0.69,0.92,0.8,0.64,0.9,0.96,0.86
mcore3d.csv,0.65,0.75,0.04,0.56,0.51,0.8,0.68,0.65,0.68,0.69,0.65,0.7,0.52
modellus.csv,0.63,0.72,0.7,0.64,0.85,0.58,0.06,0.77,0.81,0.82,0.6,0.88,0.79
monetdb.csv,0.82,0.6,0.77,0.67,0.69,0.09,0.61,0.68,0.81,0.54,0.56,0.68,0.79
projecteqemu.csv,0.63,0.67,0.79,0.54,0.85,0.57,0.69,0.74,0.7,0.03,0.56,0.88,0.7
pydev.csv,0.51,0.84,0.91,0.82,0.72,0.73,0.57,0.74,0.84,0.71,0.03,0.84,0.88
xbplayer.csv,0.62,0.76,0.77,0.02,0.68,0.71,0.65,0.77,0.55,0.58,0.71,0.59,0.81
