,ifa
bl-toolkit.csv,0.0
opengs.csv,0.0
patterntesting.csv,4.0
log4net.csv,8.0
gzigzag.csv,5.0
fw4spl.csv,7.0
phet.csv,8.0
gnukeda.csv,0.0
jaxen.csv,15.0
unimrcp.csv,5.0
enlightenment.csv,0.0
tokratan.csv,6.0
opensim4opencog.csv,6.0
rsyslog.csv,0.0
qlc.csv,6.0
lockss.csv,11.0
nicepress.csv,3.0
scenemonitor.csv,0.0
wxlua.csv,0.0
blue-c.csv,1.0
tcl.csv,1.0
etherboot.csv,0.0
pustefix.csv,0.0
haggle.csv,0.0
jmonkeyengine.csv,0.0
officefloor.csv,12.0
fluidium.csv,0.0
aufs.csv,1.0
cuberok.csv,0.0
vienna-add-in.csv,0.0
ivataopenportal.csv,4.0
decidr.csv,0.0
mptvseries.csv,0.0
planeshift.csv,0.0
phonon-vlc-mplayer.csv,2.0
jgnash.csv,4.0
nassp.csv,13.0
toped.csv,0.0
mediate.csv,1.0
arcallians.csv,0.0
emulemorph.csv,25.0
webdriver.csv,0.0
jsr308-langtools.csv,3.0
boost-sandbox.csv,0.0
mvnforum.csv,1.0
plato.csv,0.0
tolven.csv,8.0
grafx2.csv,1.0
voms.csv,3.0
onotoa.csv,0.0
jguard.csv,2.0
yale.csv,14.0
jmol.csv,0.0
mscore.csv,0.0
hydrogen.csv,5.0
qtwin.csv,316.0
sbml.csv,1.0
thrust.csv,2.0
yaprm.csv,3.0
continuum-ide.csv,0.0
gpac.csv,0.0
e-bio-flow.csv,1.0
jbasic.csv,0.0
aztec.csv,49.0
sylpheed-claws.csv,2.0
stuproa-cims.csv,2.0
apertium.csv,2.0
fm-classic.csv,10.0
smarttag.csv,1.0
pamguard.csv,0.0
