,pf
bl-toolkit.csv,0.14
opengs.csv,0.0
patterntesting.csv,0.17
log4net.csv,0.27
gzigzag.csv,0.29
fw4spl.csv,0.13
phet.csv,0.28
gnukeda.csv,0.19
jaxen.csv,0.23
unimrcp.csv,0.12
enlightenment.csv,0.15
tokratan.csv,0.12
opensim4opencog.csv,0.28
rsyslog.csv,0.17
qlc.csv,0.57
lockss.csv,0.2
nicepress.csv,0.12
scenemonitor.csv,0.0
wxlua.csv,0.0
blue-c.csv,0.12
tcl.csv,0.22
etherboot.csv,0.39
pustefix.csv,0.06
haggle.csv,0.29
jmonkeyengine.csv,0.5
officefloor.csv,0.29
fluidium.csv,0.14
aufs.csv,0.41
cuberok.csv,0.26
vienna-add-in.csv,0.15
ivataopenportal.csv,0.6
decidr.csv,0.62
mptvseries.csv,0.19
planeshift.csv,0.2
phonon-vlc-mplayer.csv,0.08
jgnash.csv,0.3
nassp.csv,0.43
toped.csv,0.33
mediate.csv,0.17
arcallians.csv,0.22
emulemorph.csv,0.47
webdriver.csv,0.17
jsr308-langtools.csv,0.2
boost-sandbox.csv,0.59
mvnforum.csv,0.2
plato.csv,0.25
tolven.csv,0.19
grafx2.csv,0.13
voms.csv,0.06
onotoa.csv,0.19
jguard.csv,0.07
yale.csv,0.18
jmol.csv,0.09
mscore.csv,0.06
hydrogen.csv,0.11
qtwin.csv,0.31
sbml.csv,0.19
thrust.csv,0.28
yaprm.csv,0.34
continuum-ide.csv,0.21
gpac.csv,0.38
e-bio-flow.csv,0.21
jbasic.csv,0.12
aztec.csv,0.29
sylpheed-claws.csv,0.25
stuproa-cims.csv,0.23
apertium.csv,0.59
fm-classic.csv,0.32
smarttag.csv,0.1
pamguard.csv,0.64
