,recall
bl-toolkit.csv,0.14
opengs.csv,0.04
patterntesting.csv,0.53
log4net.csv,0.33
gzigzag.csv,0.55
fw4spl.csv,0.25
phet.csv,0.12
gnukeda.csv,0.41
jaxen.csv,0.8
unimrcp.csv,0.3
enlightenment.csv,0.42
tokratan.csv,0.4
opensim4opencog.csv,0.48
rsyslog.csv,0.65
qlc.csv,0.89
lockss.csv,0.27
nicepress.csv,0.22
scenemonitor.csv,0.05
wxlua.csv,0.11
blue-c.csv,0.47
tcl.csv,0.38
etherboot.csv,0.5
pustefix.csv,0.26
haggle.csv,0.36
jmonkeyengine.csv,0.61
officefloor.csv,0.71
fluidium.csv,0.33
aufs.csv,0.76
cuberok.csv,0.45
vienna-add-in.csv,0.25
ivataopenportal.csv,0.63
decidr.csv,0.68
mptvseries.csv,0.58
planeshift.csv,0.42
phonon-vlc-mplayer.csv,0.39
jgnash.csv,0.64
nassp.csv,0.58
toped.csv,0.71
mediate.csv,0.31
arcallians.csv,0.5
emulemorph.csv,0.67
webdriver.csv,0.4
jsr308-langtools.csv,0.57
boost-sandbox.csv,0.48
mvnforum.csv,0.39
plato.csv,0.26
tolven.csv,0.51
grafx2.csv,0.56
voms.csv,0.11
onotoa.csv,0.22
jguard.csv,0.2
yale.csv,0.4
jmol.csv,0.37
mscore.csv,0.34
hydrogen.csv,0.56
qtwin.csv,1.0
sbml.csv,0.55
thrust.csv,0.29
yaprm.csv,0.41
continuum-ide.csv,0.24
gpac.csv,0.43
e-bio-flow.csv,0.3
jbasic.csv,0.24
aztec.csv,0.25
sylpheed-claws.csv,0.47
stuproa-cims.csv,0.31
apertium.csv,0.64
fm-classic.csv,1.0
smarttag.csv,0.14
pamguard.csv,0.54
