,geotools.csv,gpsmid.csv,lphant.csv,nativeclient.csv,xcf.csv,columba.csv,kaffeine.csv,atunes.csv
atunes.csv,0.37,0.84,0.47,0.65,0.71,0.46,0.97,0.11
columba.csv,0.37,0.67,0.54,0.69,0.68,0.53,1.0,0.08
geotools.csv,0.44,0.81,0.41,0.6,0.75,0.52,0.79,0.09
gpsmid.csv,0.3,0.85,0.4,0.55,0.51,0.33,0.76,0.04
kaffeine.csv,0.3,0.78,0.43,0.76,0.62,0.46,0.98,0.06
lphant.csv,0.33,0.68,0.64,0.65,0.57,0.42,0.86,0.06
nativeclient.csv,0.27,0.83,0.49,0.77,0.43,0.29,0.88,0.05
xcf.csv,0.34,0.63,0.8,0.74,0.74,0.43,0.97,0.09
