,flylinkdc.csv,xbrlapi.csv,vdsf.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,ldview.csv,red5.csv,ctrlr.csv,ipfire-wall.csv,gnome-jabber.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.23,0.59,0.0,0.0,0.05,0.2,0.41,0.44,0.45,0.25,0.93,0.81,0.42,0.14
dvt.csv,0.32,0.47,0.1,0.85,0.18,0.46,0.35,1.0,0.35,0.33,0.97,0.87,0.53,0.1
flylinkdc.csv,0.56,0.55,0.08,0.82,0.24,0.29,0.44,0.56,0.19,0.48,0.95,0.87,0.57,0.14
fulguro.csv,0.0,0.53,0.07,0.81,0.19,0.2,0.33,0.59,0.24,0.33,0.94,0.91,0.51,0.23
gnome-jabber.csv,0.29,0.54,0.08,0.82,0.31,0.36,0.45,0.56,0.26,0.33,0.98,0.88,0.58,0.12
ipfire-wall.csv,0.45,0.54,0.12,0.75,0.31,0.34,0.0,0.62,0.16,0.57,1.0,0.89,0.43,0.14
jruby.csv,0.27,0.47,0.09,0.83,0.33,0.23,0.14,0.6,0.33,0.56,0.95,0.9,0.6,0.25
ldview.csv,0.28,0.52,0.09,0.83,0.2,0.24,0.65,0.6,0.18,0.33,0.96,0.85,0.59,0.16
maidsafe-dht.csv,0.42,0.43,0.26,0.74,0.45,0.29,0.83,0.58,0.15,0.52,1.0,0.84,0.69,0.2
nuttx.csv,0.49,0.52,0.21,0.86,0.4,0.33,0.45,0.55,0.5,0.24,1.0,0.84,0.7,0.07
oorexx.csv,0.3,0.4,0.09,0.79,0.27,0.32,0.44,0.43,0.33,0.32,0.98,0.83,0.71,0.14
red5.csv,0.32,0.51,0.07,0.87,0.2,0.29,0.35,0.74,0.29,0.33,0.95,0.84,0.63,0.12
vdsf.csv,0.26,0.54,0.21,0.76,0.19,0.29,0.41,0.56,0.25,0.35,0.95,0.87,0.59,0.14
xbrlapi.csv,0.31,0.65,0.0,1.0,0.08,0.43,0.42,0.56,0.4,0.6,0.0,1.0,0.62,0.21
