,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.55,0.45,0.48,0.6,0.43,0.66,0.0,0.55,0.48,0.38,0.46,0.46
freedom-erp.csv,0.62,0.93,0.71,0.0,0.94,0.92,0.35,0.0,0.76,0.69,0.37,0.0
javaprofiler.csv,0.47,0.48,0.57,0.53,0.49,0.5,0.31,0.58,0.87,0.54,0.41,0.53
jmoney.csv,0.4,0.36,0.34,0.48,0.34,0.39,0.4,0.38,0.48,0.39,0.33,0.6
jsidplay2.csv,0.35,0.47,0.39,0.59,0.41,0.5,0.31,0.49,0.42,0.35,0.68,0.4
reaper3d.csv,0.47,0.37,0.43,0.9,0.83,0.53,0.38,0.47,0.61,0.41,0.33,0.59
servicestack.csv,0.0,0.0,0.0,0.86,0.86,0.0,0.9,0.5,0.65,0.5,0.0,0.0
springside.csv,0.54,0.44,0.57,0.5,0.43,0.44,0.48,0.38,0.41,0.58,0.39,0.84
swtfox.csv,0.5,0.64,0.55,0.49,0.69,0.68,0.71,0.43,0.43,0.93,0.83,0.63
synecdoche.csv,0.41,0.44,0.43,0.84,0.41,0.57,0.32,0.53,0.52,0.45,0.55,0.7
tmva.csv,0.37,0.44,0.38,0.41,0.37,0.48,0.31,0.36,0.41,0.38,0.93,0.4
wsmt.csv,0.86,0.9,0.0,0.97,0.8,0.75,0.95,0.0,0.63,0.67,0.8,0.71
