,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.52,0.38,0.26,0.88,0.07,0.54,0.0,1.0,0.78,1.0,0.98,0.47,0.64,0.32
crisscross.csv,0.64,0.4,1.0,0.87,0.0,0.61,0.0,0.77,0.92,0.92,1.0,0.43,0.77,0.26
gisgraphy.csv,0.31,0.21,0.19,0.83,0.18,0.55,0.08,0.71,0.44,0.94,1.0,0.37,0.36,1.0
glelite.csv,0.37,0.23,0.17,0.86,0.09,0.52,0.02,0.78,0.73,0.95,1.0,0.46,0.66,0.31
gnome-jabber.csv,0.34,0.32,0.19,0.86,0.1,0.51,0.02,0.78,0.73,0.98,0.98,0.48,0.65,0.29
ivataopenportal.csv,0.36,0.23,0.14,0.85,0.09,0.99,0.03,0.83,0.75,0.97,0.99,0.39,0.57,0.42
mb-unit.csv,0.39,0.5,0.2,0.99,0.14,0.57,0.0,0.8,0.82,0.95,0.97,0.57,0.64,0.2
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
nova.csv,0.49,1.0,0.28,0.93,0.0,0.43,0.0,0.86,0.71,0.95,1.0,0.61,0.62,0.42
olex2.csv,0.5,0.56,0.38,0.91,0.24,0.73,0.0,0.88,0.75,0.95,1.0,1.0,0.57,0.33
openwbem.csv,0.99,0.38,0.27,0.85,0.1,0.51,0.0,0.77,0.79,0.95,1.0,0.42,0.64,0.32
tencompetence.csv,0.28,1.0,0.11,0.87,0.0,0.49,0.07,0.81,0.72,1.0,0.99,0.71,1.0,0.21
xcmetadataservicestoolkit.csv,0.42,0.15,0.24,0.89,0.11,0.56,0.0,0.8,1.0,0.96,0.98,0.39,0.68,0.24
