,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.23,0.11,0.46,0.41,0.44,0.49,0.58,0.0,0.53,0.0,0.67,0.56,0.29,0.4
crisscross.csv,0.05,0.07,0.0,0.15,0.02,0.07,0.12,0.09,0.07,0.2,0.0,0.23,0.08,0.29
gisgraphy.csv,0.5,0.77,0.71,0.62,0.29,0.1,0.2,0.3,0.6,0.6,0.0,0.61,0.55,0.0
glelite.csv,0.94,1.0,1.0,0.94,0.95,0.95,0.93,1.0,1.0,1.0,0.0,1.0,0.89,1.0
gnome-jabber.csv,0.86,0.52,0.86,0.94,0.87,0.99,0.83,0.97,0.8,0.4,1.0,0.77,0.88,0.94
ivataopenportal.csv,0.49,0.75,0.38,0.63,0.94,0.01,0.54,0.45,0.6,0.2,0.33,0.62,0.62,0.52
mb-unit.csv,0.72,0.05,0.56,0.05,0.57,0.6,0.69,0.82,0.47,0.4,1.0,0.37,0.39,0.85
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.2,0.0,0.21,0.2,0.22,0.41,0.42,0.15,0.8,0.2,0.0,0.28,0.39,0.31
olex2.csv,0.21,0.09,0.15,0.24,0.21,0.13,0.44,0.09,0.67,0.2,0.0,0.0,0.27,0.58
openwbem.csv,0.01,0.23,0.35,0.89,0.57,0.8,0.41,0.94,0.53,0.6,0.0,0.48,0.91,0.96
tencompetence.csv,0.71,0.0,0.57,0.32,0.03,0.75,0.24,0.48,0.47,0.0,0.33,0.06,0.0,0.46
xcmetadataservicestoolkit.csv,0.57,0.75,0.54,0.46,0.79,0.61,0.54,0.79,0.0,0.4,1.0,0.76,0.51,0.79
