,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
55,2,1,1,1,2,2,2,1,mclient-mume.csv
51,3,3,3,4,2,2,3,5,open-media-library.csv
49,4,3,5,8,4,6,14,19,opendvr.csv
57,5,2,3,4,2,2,3,5,springside.csv
24,6,3,3,8,4,4,8,10,javaprofiler.csv
19,7,3,3,3,8,14,16,18,piccolo2d.csv
29,8,4,3,10,2,0,8,10,freelords.csv
27,10,0,1,1,0,1,1,0,atunes.csv
18,11,1,3,3,1,2,3,3,gpsmid.csv
56,13,2,1,1,2,1,3,2,amanda.csv
58,14,7,9,13,9,4,18,18,cascading.csv
50,15,1,3,5,6,13,14,15,openmeetings.csv
21,16,3,1,5,3,3,10,9,psycle.csv
26,17,0,1,2,0,1,2,2,clamav.csv
16,18,1,2,2,1,2,3,2,lmms.csv
28,19,3,5,6,4,6,9,9,fritzing.csv
15,20,1,4,7,1,2,5,5,jmule.csv
30,21,6,7,9,6,7,14,15,phonon-vlc-mplayer.csv
59,22,0,3,3,0,3,6,5,acegisecurity.csv
17,27,1,2,4,1,1,7,6,bochs.csv
25,28,3,2,11,2,1,5,12,uface.csv
20,29,2,4,5,3,6,14,14,projectfactory.csv
39,30,10,6,11,14,10,9,17,botsnscouts.csv
6,32,2,4,5,3,4,6,9,heekscad.csv
14,33,4,3,7,3,1,4,9,mob-sen-plat.csv
13,34,2,3,4,2,1,0,3,jajuk.csv
7,35,8,6,11,8,7,14,19,go.csv
34,36,5,8,9,7,11,11,16,unimrcp.csv
40,37,2,2,4,6,4,8,10,salasaga.csv
33,38,2,4,6,4,3,3,15,owlib.csv
41,39,0,2,4,1,4,8,6,kowari.csv
53,40,2,4,6,2,2,6,8,applet2app.csv
47,41,2,2,2,2,4,2,4,adaptagrams.csv
22,42,4,3,2,3,4,5,5,truevision.csv
32,43,3,1,3,4,6,7,7,ogrehg.csv
31,44,1,2,2,2,3,5,5,webdriver.csv
23,45,0,1,1,3,5,5,4,tolven.csv
46,46,6,5,10,3,1,10,10,sumatrapdf.csv
54,47,2,3,2,6,15,15,17,ktc.csv
48,48,6,7,11,2,2,6,11,yield.csv
52,49,3,3,4,9,9,13,14,delphilhlplib.csv
3,50,4,7,10,4,2,9,12,reactos-mirror.csv
42,52,4,1,7,3,1,5,6,ivataopenportal.csv
38,53,2,3,9,3,3,6,15,codepurge.csv
37,54,2,1,2,1,2,3,2,graphmak.csv
43,55,1,2,9,2,2,8,9,jaxen.csv
9,56,1,1,2,2,2,6,7,optalgtoolkit.csv
5,57,4,6,9,5,6,16,16,co-ode-owl-plugins.csv
10,58,4,4,8,5,2,12,12,cleartk.csv
1,59,4,4,10,4,4,5,18,opensim4opencog.csv
12,60,1,3,3,1,1,4,4,oorexx.csv
0,61,1,3,6,5,7,17,16,codeblocks.csv
36,62,0,1,1,1,3,4,5,plplot.csv
44,63,3,4,6,8,8,17,15,tycho.csv
45,64,2,1,3,2,2,4,5,mumble.csv
35,65,3,4,8,2,3,11,12,flylinkdc.csv
2,66,2,1,2,1,1,1,1,silvertree.csv
11,67,5,3,5,9,10,14,15,elvishrayrenderer.csv
4,68,1,1,3,2,3,7,8,anaxagora.csv
8,69,0,0,0,0,1,2,1,thrust.csv
