,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.56,0.38,0.29,1.0,0.4,0.31,0.59,0.12,0.86,0.18,0.88,0.41,0.46,0.71
elateportal.csv,0.24,0.26,0.31,0.7,0.49,0.3,0.53,0.15,0.86,0.12,0.8,0.47,0.27,1.0
gdis.csv,0.13,0.29,0.26,0.7,0.4,0.33,0.62,0.17,0.9,0.18,1.0,0.46,0.41,0.75
gzigzag.csv,0.58,0.3,1.0,0.0,0.38,0.46,0.45,0.33,0.93,0.0,0.55,0.67,1.0,0.0
icescrum.csv,0.55,0.53,0.3,1.0,0.33,0.52,0.48,0.05,0.97,0.22,0.88,0.26,0.9,0.75
jguard.csv,0.11,0.2,0.3,0.54,1.0,0.31,0.53,0.13,0.88,0.1,0.83,0.44,0.46,1.0
jitterbit.csv,0.24,1.0,0.32,0.42,0.14,0.57,0.5,0.19,0.95,0.18,0.63,0.46,0.53,1.0
jython.csv,1.0,0.46,0.3,0.78,0.32,0.31,0.73,0.19,0.86,0.09,0.75,0.51,0.5,0.86
personalaccess.csv,0.13,0.28,0.26,0.88,0.31,0.27,0.52,0.16,0.99,0.2,0.84,0.44,0.39,0.86
ppcboot.csv,0.11,0.43,0.26,0.76,0.32,0.27,0.98,0.02,0.9,0.22,0.97,0.24,0.54,0.97
repositorium.csv,0.08,0.35,0.31,0.08,0.43,0.4,0.52,1.0,0.81,0.17,0.83,0.43,0.42,0.95
unbvision.csv,0.39,0.54,0.33,1.0,0.37,1.0,0.55,0.5,0.93,0.12,0.85,0.48,0.43,0.9
wxstudio.csv,0.05,0.33,0.22,0.55,0.33,0.22,0.58,0.08,0.83,0.06,0.73,0.97,0.17,0.89
xbg.csv,0.67,0.3,0.29,0.0,0.2,0.17,0.65,0.5,0.94,1.0,1.0,0.5,0.5,0.5
