,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.37,0.57,0.61,0.07,0.65,0.64,0.61,0.72,0.62,0.6,0.59,0.73,0.61,0.95
elateportal.csv,0.7,0.73,0.58,0.47,0.49,0.72,0.9,0.6,0.66,0.73,1.0,0.66,0.97,0.0
gdis.csv,0.97,0.81,0.83,0.46,0.65,0.64,0.56,0.54,0.48,0.58,0.0,0.67,0.81,0.93
gzigzag.csv,0.68,0.92,0.07,1.0,0.9,0.52,0.87,0.91,0.9,1.01,0.97,0.84,0.79,1.0
icescrum.csv,0.46,0.52,0.64,0.73,0.74,0.55,0.78,0.94,0.75,0.76,0.52,0.91,0.06,0.95
jguard.csv,1.02,0.84,0.64,1.0,0.03,0.64,0.97,0.81,0.56,0.82,0.92,0.83,0.61,0.05
jitterbit.csv,0.55,0.07,0.64,0.87,0.96,0.58,0.75,0.6,0.7,0.77,0.96,0.68,0.55,0.75
jython.csv,0.0,0.49,0.6,0.56,0.8,0.62,0.91,0.5,0.64,0.83,0.91,0.61,0.67,0.88
personalaccess.csv,0.94,0.7,0.68,0.54,0.9,0.82,0.77,0.57,0.04,0.52,0.63,0.74,0.7,0.88
ppcboot.csv,0.93,0.56,0.7,0.59,0.78,0.73,0.04,1.04,0.66,0.5,0.5,0.94,0.46,0.26
repositorium.csv,1.0,0.7,0.58,1.08,0.81,0.87,0.96,0.0,0.77,0.77,0.68,0.74,0.71,0.38
unbvision.csv,0.23,0.57,0.55,0.77,0.8,0.03,0.68,0.91,0.61,0.79,0.62,0.76,0.65,0.81
wxstudio.csv,1.09,0.69,0.75,0.71,0.73,0.88,0.86,0.84,0.73,0.93,0.9,0.02,0.95,0.84
xbg.csv,0.82,0.91,0.87,1.0,0.97,0.97,0.75,0.91,0.88,0.0,0.93,0.87,0.8,0.99
