,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.56,0.36,0.54,0.46,0.67,0.78,0.83,0.53,1.0,0.64,0.25,0.11,0.88
e-bio-flow.csv,0.12,0.36,0.69,0.75,0.67,0.22,0.44,0.67,0.2,0.36,0.62,0.16,0.25
jas.csv,0.31,0.64,0.0,0.63,0.33,0.26,0.44,0.5,1.0,0.18,0.38,0.6,0.88
jbpm.csv,0.19,0.14,0.0,0.79,0.0,0.13,0.28,0.23,0.0,0.09,0.0,0.02,0.25
jgossipforum.csv,0.44,0.59,0.15,0.25,0.0,0.7,0.22,0.47,1.0,0.36,0.88,0.53,0.0
jmonkeyengine.csv,0.56,0.91,0.46,0.83,0.33,0.91,0.67,0.47,0.4,0.55,0.62,0.83,0.62
joustsim.csv,0.38,0.77,0.38,0.58,0.33,0.96,0.67,0.43,1.0,0.82,0.88,0.77,0.88
log4net.csv,0.56,0.23,0.54,0.27,1.0,0.17,0.0,0.5,0.0,0.73,0.38,0.2,0.0
ngl.csv,0.62,0.95,0.85,1.0,0.67,0.78,0.44,0.9,1.0,0.73,0.75,0.63,0.75
piccolo2d.csv,0.75,0.59,0.92,0.71,0.67,0.3,0.39,0.63,0.2,0.64,0.25,0.39,0.12
pustefix.csv,0.25,0.5,0.62,0.46,0.33,0.43,0.78,0.53,1.0,0.0,0.0,0.45,1.0
reaper3d.csv,0.19,0.55,0.23,0.37,0.0,0.57,0.22,0.53,0.8,0.45,0.88,0.37,0.12
sblim.csv,0.25,0.73,0.77,0.37,0.0,0.09,0.06,0.47,0.0,0.18,0.0,0.68,0.12
