,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.54,1.0,0.8,0.8,0.66,0.94,0.95,0.73,0.76,0.82,0.79,0.92,0.72
e-bio-flow.csv,0.92,0.82,0.49,0.62,0.59,0.79,0.57,0.41,0.8,0.64,0.76,0.84,0.76
jas.csv,0.82,0.54,1.0,0.58,0.9,0.77,0.58,0.71,0.48,0.82,0.69,0.59,0.18
jbpm.csv,0.83,0.87,1.0,0.25,1.0,0.87,0.72,0.78,1.0,0.93,1.0,0.98,0.77
jgossipforum.csv,0.78,0.51,0.85,0.78,1.02,0.63,0.8,0.65,0.07,0.64,0.6,0.54,1.0
jmonkeyengine.csv,0.95,0.63,0.68,0.66,1.0,0.73,0.39,0.83,0.87,0.86,0.78,0.64,0.97
joustsim.csv,0.82,0.84,0.67,0.5,0.76,0.74,0.63,0.7,0.2,0.24,0.83,0.57,0.34
log4net.csv,0.66,0.78,0.54,0.76,0.12,0.84,1.0,0.65,1.0,0.41,0.64,0.84,1.01
ngl.csv,0.78,0.57,0.62,0.76,0.74,0.71,0.61,0.68,0.47,0.44,0.6,0.49,0.56
piccolo2d.csv,0.71,0.53,0.21,0.51,0.38,0.73,0.68,0.6,0.8,0.52,0.76,0.65,0.88
pustefix.csv,0.78,0.72,0.83,0.65,0.96,0.61,0.75,0.73,0.96,1.0,1.04,0.68,0.97
reaper3d.csv,0.9,0.52,0.78,0.83,1.01,0.83,0.79,0.6,0.33,0.55,0.35,0.65,0.88
sblim.csv,0.79,0.33,0.45,0.66,1.07,0.91,0.95,0.62,1.02,0.83,1.02,0.74,0.91
