,reactos-mirror.csv,flylegacy.csv,etics.csv,bloodycore.csv,gzigzag.csv,blue-c.csv,jguard.csv,flexpay.csv,unbvision.csv,ppcboot.csv,auber.csv,img-browse-sort.csv,qdvdauthor.csv,biodwh.csv,ftm.csv,jcache.csv
auber.csv,0.56,0.41,0.38,0.54,0.41,0.44,0.49,0.39,0.57,0.64,0.48,0.34,0.36,0.35,0.39,0.53
biodwh.csv,0.72,0.65,0.48,0.87,0.71,0.8,0.58,0.63,0.7,0.56,0.71,0.69,0.36,0.64,0.44,0.48
bloodycore.csv,0.41,0.7,0.53,0.8,0.64,0.75,0.9,0.99,0.94,0.68,0.85,0.89,0.92,0.92,0.96,0.8
blue-c.csv,0.55,0.44,0.4,0.61,0.49,0.48,0.63,0.47,0.52,0.79,0.45,0.41,0.41,0.6,0.44,0.54
etics.csv,0.93,0.81,0.48,0.94,0.77,0.8,0.72,0.67,0.91,0.98,0.82,0.75,0.53,0.92,0.64,0.5
flexpay.csv,0.98,0.54,0.67,0.49,0.42,0.68,0.42,0.66,0.76,0.74,0.62,0.33,0.95,0.41,0.82,0.45
flylegacy.csv,0.97,0.41,0.58,0.56,0.45,0.39,0.55,0.47,0.45,0.87,0.48,0.37,0.5,0.61,0.42,0.63
ftm.csv,0.47,0.74,0.71,0.89,0.57,0.57,0.67,0.98,0.92,0.98,0.71,0.4,0.67,0.83,0.45,0.56
gzigzag.csv,0.97,0.55,0.86,0.54,0.51,0.47,0.42,0.45,0.5,0.95,0.57,0.64,0.75,0.4,0.42,0.52
img-browse-sort.csv,0.41,0.34,0.75,0.42,0.42,0.43,0.59,0.46,0.42,0.55,0.43,0.6,0.33,0.36,0.38,0.36
jcache.csv,0.39,0.35,0.43,0.49,0.4,0.4,0.41,0.7,0.45,0.65,0.44,0.32,0.34,0.59,0.49,0.4
jguard.csv,0.61,0.38,0.86,0.41,0.47,0.5,0.62,0.42,0.55,0.42,0.61,0.33,0.42,0.47,0.4,0.43
ppcboot.csv,0.45,0.37,0.45,0.4,0.4,0.42,0.51,0.39,0.5,0.83,0.4,0.31,0.37,0.41,0.44,0.55
qdvdauthor.csv,0.46,0.74,0.42,0.72,0.58,0.62,0.85,0.65,0.74,0.67,0.53,0.9,0.44,0.87,0.57,0.62
reactos-mirror.csv,0.56,0.42,0.4,0.44,0.49,0.53,0.62,0.43,0.56,0.57,0.48,0.42,0.41,0.52,0.95,0.38
unbvision.csv,0.41,0.46,0.45,0.65,0.64,0.67,0.47,0.55,0.52,0.41,0.5,0.62,0.42,0.44,0.54,0.53
