,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.47,0.52,0.61,0.0,0.4,0.71,0.4,0.0,0.24,0.49,0.36,0.41,0.37,0.52,0.28,0.54,0.21,0.36,0.0,0.83
cme.csv,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.1,0.04,0.05,1.0
free-evolution.csv,0.53,0.27,0.29,0.52,0.55,0.64,0.31,0.67,0.3,0.54,0.77,0.4,0.35,0.21,0.0,0.57,0.67,0.45,0.71,0.51
gtad.csv,0.97,0.59,0.28,0.15,0.49,0.61,0.15,0.12,0.23,0.42,0.45,0.31,0.45,0.11,0.32,0.71,0.39,0.31,0.27,0.0
gusanos.csv,0.87,0.1,0.53,0.62,0.65,0.62,0.25,0.24,0.68,0.36,0.7,0.61,0.54,0.69,0.83,0.63,0.65,0.45,0.51,0.84
kaffeine.csv,0.3,0.61,0.28,0.84,0.69,0.62,0.38,0.22,0.81,0.61,0.73,0.65,0.63,0.65,0.7,0.59,0.5,0.58,0.76,0.67
lcfizvtop.csv,0.6,0.46,0.28,0.75,0.58,0.59,0.28,0.0,0.44,0.41,0.64,0.52,0.59,0.88,0.27,0.67,0.62,0.7,0.62,0.86
m-a-d-n-e-s-s.csv,0.56,0.43,0.21,0.17,0.31,0.53,0.19,0.54,0.38,0.32,0.34,0.29,0.67,0.0,0.07,0.73,0.36,0.11,0.15,0.23
m-m-m.csv,0.84,0.48,0.62,0.57,0.53,0.17,0.8,0.38,0.43,0.5,0.05,0.56,0.54,0.55,0.64,0.32,0.6,0.58,0.6,0.21
mediaportal.csv,0.0,0.3,0.0,0.1,0.31,0.14,0.21,0.44,0.57,0.32,0.53,0.25,0.33,0.11,0.34,0.36,0.61,0.15,0.25,0.0
mvnforum.csv,0.0,0.4,0.61,0.24,0.11,0.46,0.54,0.66,0.3,0.53,0.2,0.4,0.38,0.36,0.39,0.13,0.26,0.43,0.27,0.0
myfaces.csv,0.69,0.56,0.23,0.19,0.56,0.57,0.29,0.12,0.62,0.41,0.68,0.51,0.69,0.4,0.34,0.76,0.6,0.28,0.43,0.72
nh3d.csv,0.0,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.09,0.0,0.27,0.05,0.0,0.0,0.0,0.0
ogrehg.csv,0.5,0.3,0.05,0.26,0.5,0.13,0.31,0.39,0.51,0.64,0.42,0.69,0.55,0.31,0.63,0.45,0.52,0.41,0.48,0.61
pnotepad.csv,0.65,0.65,0.26,0.58,0.73,0.24,0.72,0.05,0.75,0.55,0.58,0.69,0.69,0.68,0.26,0.27,0.48,0.6,0.89,0.09
pydev.csv,0.86,0.41,0.49,0.46,0.31,0.6,0.31,0.23,0.61,0.39,0.55,0.47,0.76,0.48,0.25,0.73,0.47,0.46,0.47,0.78
sarasvati.csv,0.85,0.35,0.5,0.15,0.8,0.28,0.35,0.12,0.55,0.43,0.67,0.3,0.41,0.66,0.36,0.51,0.61,0.41,0.25,0.43
taokgame.csv,0.54,0.04,0.0,0.07,0.11,0.29,0.07,0.98,0.31,0.26,0.33,0.2,0.1,0.31,0.11,0.37,0.17,0.21,0.18,0.44
tokratan.csv,0.65,0.52,0.38,0.31,0.21,0.63,0.56,0.0,0.51,0.55,0.63,0.57,0.75,0.4,0.46,0.69,0.63,0.31,0.52,0.78
wgs-assembler.csv,0.89,0.53,0.52,0.53,0.61,0.59,0.05,0.81,0.59,0.32,0.7,0.59,0.56,0.4,0.64,0.61,0.52,0.6,0.57,0.0
