,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.04,0.45,0.03,0.83,0.16,0.56,0.51,0.0,0.17,0.36,0.28,0.44,0.27,0.31,0.55,0.45,0.32,0.32,0.77,0.28
cme.csv,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.11,0.05,0.08,0.91
free-evolution.csv,0.09,0.51,0.02,0.63,0.14,0.46,0.41,0.24,0.11,0.39,0.37,0.41,0.28,0.24,0.82,0.48,0.36,0.35,0.82,0.19
gtad.csv,0.27,0.51,0.01,0.22,0.22,0.43,0.21,0.07,0.13,0.35,0.34,0.37,0.51,0.13,0.42,0.57,0.36,0.32,0.37,0.0
gusanos.csv,0.12,0.14,0.04,0.73,0.21,0.46,0.34,0.14,0.33,0.29,0.37,0.57,0.43,0.38,0.87,0.52,0.36,0.34,0.71,0.29
kaffeine.csv,0.06,0.5,0.01,0.89,0.18,0.44,0.49,0.07,0.35,0.5,0.33,0.56,0.49,0.35,0.79,0.53,0.34,0.37,0.86,0.21
lcfizvtop.csv,0.07,0.38,0.01,0.83,0.21,0.45,0.38,0.0,0.22,0.3,0.38,0.46,0.43,0.62,0.82,0.54,0.35,0.46,0.72,0.3
m-a-d-n-e-s-s.csv,0.67,0.51,0.02,0.25,0.19,0.41,0.27,0.18,0.36,0.32,0.38,0.35,0.6,0.0,0.11,0.6,0.35,0.14,0.22,0.1
m-m-m.csv,0.1,0.42,0.03,0.68,0.14,0.39,0.87,0.18,0.22,0.46,0.23,0.53,0.44,0.29,0.73,0.49,0.32,0.38,0.71,0.04
mediaportal.csv,0.0,0.31,0.02,0.15,0.26,0.14,0.3,0.18,0.36,0.37,0.4,0.31,0.38,0.11,0.43,0.39,0.43,0.2,0.34,0.0
mvnforum.csv,0.0,0.35,0.03,0.52,0.03,0.3,0.74,0.25,0.1,0.44,0.09,0.35,0.27,0.18,0.6,0.14,0.15,0.28,0.57,0.0
myfaces.csv,0.08,0.47,0.02,0.28,0.15,0.46,0.39,0.03,0.3,0.4,0.45,0.49,0.59,0.27,0.43,0.62,0.33,0.25,0.54,0.24
nh3d.csv,0.05,0.41,0.8,0.9,0.12,0.41,0.91,0.2,0.19,0.45,0.24,0.28,0.46,0.31,0.83,0.5,0.0,0.37,0.85,0.16
ogrehg.csv,0.05,0.32,0.02,0.37,0.1,0.39,0.42,0.2,0.19,0.48,0.23,0.66,0.46,0.2,0.71,0.47,0.36,0.38,0.59,0.18
pnotepad.csv,0.07,0.54,0.01,0.69,0.18,0.41,0.89,0.2,0.28,0.45,0.28,0.6,0.53,0.38,0.74,0.53,0.35,0.39,0.94,0.16
pydev.csv,0.11,0.48,0.02,0.58,0.09,0.44,0.42,0.11,0.28,0.38,0.23,0.5,0.64,0.31,0.33,0.64,0.34,0.37,0.58,0.25
sarasvati.csv,0.11,0.35,0.02,0.22,0.29,0.19,0.46,0.05,0.21,0.38,0.31,0.3,0.45,0.36,0.46,0.42,0.34,0.39,0.34,0.14
taokgame.csv,0.1,0.05,0.0,0.12,0.05,0.29,0.11,0.71,0.16,0.24,0.17,0.28,0.15,0.29,0.16,0.35,0.19,0.28,0.25,0.17
tokratan.csv,0.07,0.48,0.02,0.4,0.09,0.45,0.67,0.0,0.29,0.39,0.29,0.51,0.58,0.31,0.54,0.57,0.35,0.31,0.63,0.25
wgs-assembler.csv,0.13,0.48,0.03,0.64,0.13,0.4,0.08,0.53,0.2,0.29,0.31,0.58,0.53,0.31,0.71,0.53,0.39,0.39,0.68,0.0
