,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,0.65,0.64,0.85,0.59,0.66,0.02,0.6,0.57,0.54,0.86,1.0,0.83,0.88,0.55,0.84,0.86,0.68
biopax.csv,0.46,0.85,0.86,0.93,0.6,0.73,0.6,0.89,0.63,0.95,0.91,0.7,0.66,0.72,0.75,0.03,0.87
ffigo.csv,0.59,0.78,0.67,0.6,0.42,0.7,0.42,0.51,0.59,0.59,1.03,0.63,0.04,0.56,0.71,0.55,0.64
freebios.csv,0.7,0.61,0.0,0.55,0.89,0.71,0.75,0.62,0.71,0.2,0.56,0.75,0.65,0.56,0.6,0.81,0.65
glelite.csv,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.91,0.99,1.0,0.0,1.0,1.0,1.0,1.0,1.0
gnupdate.csv,0.8,0.82,0.86,0.63,0.05,0.85,0.56,0.66,0.65,0.69,0.88,0.83,0.8,0.76,0.79,0.73,0.52
go.csv,0.05,0.59,0.97,0.67,0.49,0.71,0.56,0.55,0.53,0.93,0.78,0.78,0.53,0.5,0.77,0.7,0.73
gstreamer.csv,0.58,0.63,0.78,0.48,0.77,0.71,0.61,0.58,0.57,0.69,0.77,0.87,0.57,0.03,0.52,0.67,0.56
metacosm.csv,0.81,0.73,0.87,0.67,0.71,0.85,0.66,0.67,0.77,0.73,0.63,1.06,0.76,0.78,0.87,0.68,0.04
pcsx2.csv,0.74,0.68,0.66,0.61,0.84,0.71,0.75,0.85,0.01,0.87,1.03,0.49,0.56,0.71,0.67,0.59,0.62
pgui.csv,0.64,0.81,0.78,0.67,0.55,0.79,0.52,0.11,0.68,0.77,0.89,0.75,0.76,0.83,0.68,0.87,0.53
qse.csv,0.59,0.69,0.81,0.59,0.4,0.69,0.04,0.49,0.52,0.75,0.61,0.96,0.68,0.67,0.77,0.45,0.56
rebecca-aiml.csv,0.79,0.72,0.62,0.71,0.78,0.68,0.65,0.75,0.66,0.06,0.6,0.6,0.74,0.76,0.6,0.73,0.56
skia.csv,0.89,0.93,0.92,0.81,1.01,0.85,0.8,0.88,0.89,0.72,0.46,0.88,0.96,0.95,0.09,0.98,0.93
vars-redux.csv,0.66,0.72,0.74,0.03,0.83,0.83,0.67,0.55,0.59,0.86,1.01,0.84,0.73,0.6,0.75,0.81,0.52
wxjs.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
yale.csv,0.75,0.12,0.61,0.99,0.77,0.88,0.92,0.72,0.9,0.66,0.76,0.65,0.86,0.82,0.81,1.14,0.81
