,dsworkbench.csv,gogoego.csv,cleartk.csv,jpaul.csv,scenemonitor.csv,yarp0.csv,motu.csv,rtrt-on-gpu.csv,mp-rechnungs-und-kundenverwaltung.csv,xstore.csv,loki-lib.csv,zemljanka.csv
cleartk.csv,0.4,0.46,0.39,0.41,0.31,0.4,0.44,0.44,0.35,0.51,0.44,0.69
dsworkbench.csv,0.44,0.92,0.75,0.0,0.75,0.86,0.78,0.91,0.57,0.67,0.67,0.58
gogoego.csv,0.45,0.56,0.36,0.67,0.89,0.46,0.35,0.41,0.34,0.39,0.6,0.36
jpaul.csv,0.49,0.52,0.96,0.65,0.75,0.75,0.75,0.0,0.95,0.88,0.0,0.0
loki-lib.csv,0.39,0.38,0.94,0.45,0.65,0.54,0.48,0.8,0.52,0.61,0.5,0.43
motu.csv,0.48,0.38,0.38,0.57,0.35,0.52,0.48,0.47,0.39,0.42,0.47,0.86
mp-rechnungs-und-kundenverwaltung.csv,0.86,0.65,0.93,0.44,0.0,0.83,0.8,0.5,0.45,0.56,0.78,0.6
rtrt-on-gpu.csv,0.53,0.4,0.46,0.56,0.5,0.67,0.54,0.9,0.39,0.72,0.58,0.45
scenemonitor.csv,0.4,0.48,0.91,0.48,0.48,0.4,0.35,0.46,0.51,0.44,0.0,0.82
xstore.csv,0.45,0.38,0.43,0.5,0.58,0.35,0.36,0.42,0.41,0.44,0.49,0.43
yarp0.csv,0.49,0.43,0.4,0.8,0.52,0.55,0.64,0.43,0.36,0.51,0.5,0.39
zemljanka.csv,0.38,0.36,0.36,0.45,0.31,0.43,0.38,0.46,0.35,0.47,0.77,0.47
