,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.36,0.34,0.3,0.7,0.3,0.05,0.18,0.21,0.58,0.37,0.35,0.36,0.33,0.02,0.36,0.25,0.39
dynalloy.csv,0.46,0.18,0.0,0.18,0.47,0.05,0.32,0.34,0.12,0.1,0.27,0.04,0.15,0.2,0.42,0.22,0.09
enzo.csv,0.72,0.63,0.82,0.81,0.94,0.55,0.46,0.58,0.71,0.62,0.71,0.12,0.97,0.83,0.95,0.69,0.67
hydrogen.csv,0.12,0.1,0.09,0.15,0.0,0.02,0.01,0.0,0.25,0.17,0.36,0.0,0.0,0.17,0.19,0.03,0.2
jcae.csv,0.04,0.07,0.07,0.0,0.0,0.0,0.0,0.03,0.04,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.05
kmatplot.csv,0.2,0.0,0.13,0.32,0.04,0.0,0.16,0.13,0.24,0.26,0.25,0.16,0.06,0.28,0.06,0.09,0.16
lphant.csv,0.48,0.42,0.71,0.77,0.83,0.15,0.57,0.39,0.5,0.54,0.52,0.64,0.0,0.52,0.55,0.31,0.31
natpad.csv,0.3,0.28,0.57,0.35,0.36,0.82,0.65,0.5,0.49,0.37,0.63,0.72,0.33,0.31,0.49,0.5,0.0
nosleepsoftware.csv,0.28,0.16,0.23,0.3,0.0,0.02,0.12,0.15,0.2,0.22,0.29,0.24,0.03,0.13,0.54,0.12,0.19
ossbuild.csv,0.22,0.14,0.15,0.14,0.0,0.18,0.21,0.28,0.0,0.16,0.09,0.4,0.52,0.48,0.42,0.06,0.27
quarkplayer.csv,0.19,0.06,0.02,0.1,0.06,0.0,0.01,0.08,0.0,0.0,0.05,0.16,0.06,0.06,0.25,0.03,0.2
quickfast.csv,0.53,0.59,0.53,0.75,0.36,0.48,0.35,0.36,0.57,0.55,0.61,0.24,0.55,0.46,0.51,0.0,0.25
rezilla.csv,0.62,0.52,0.81,0.77,0.87,0.02,0.75,0.41,0.48,0.36,0.7,0.36,0.79,0.54,0.9,0.59,0.41
rhex.csv,0.0,0.13,0.47,0.35,0.13,0.05,0.16,0.08,0.0,0.04,0.09,0.04,0.0,0.31,0.11,0.06,0.02
rocrail.csv,0.01,0.09,0.09,0.01,0.02,0.02,0.03,0.08,0.02,0.03,0.11,0.0,0.03,0.0,0.0,0.03,0.05
virtuoso.csv,0.07,0.54,0.86,0.73,0.38,0.75,0.51,0.3,0.91,0.5,0.01,0.4,0.45,0.69,0.36,0.38,0.91
yield.csv,0.44,0.49,0.55,0.91,0.51,0.08,0.01,0.38,0.65,0.53,0.58,0.36,0.58,0.5,0.45,0.38,0.47
