,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,1.0,11.0,0.0,25.0,5.0,1.0,3.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0
dynalloy.csv,4.0,0.0,0.0,14.0,11.0,1.0,1.0,12.0,6.0,5.0,7.0,0.0,4.0,8.0,18.0,1.0,0.0
enzo.csv,16.0,11.0,1.0,35.0,1.0,0.0,3.0,10.0,6.0,38.0,6.0,0.0,0.0,17.0,19.0,1.0,5.0
hydrogen.csv,1.0,0.0,0.0,3.0,0.0,58.0,0.0,0.0,12.0,168.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0
jcae.csv,2.0,1.0,0.0,0.0,62.0,58.0,0.0,0.0,6.0,168.0,181.0,126.0,0.0,0.0,4.0,0.0,2.0
kmatplot.csv,12.0,0.0,1.0,14.0,2.0,58.0,2.0,9.0,15.0,3.0,6.0,0.0,54.0,8.0,3.0,1.0,5.0
lphant.csv,7.0,0.0,2.0,31.0,1.0,0.0,9.0,11.0,1.0,3.0,10.0,0.0,0.0,12.0,12.0,1.0,8.0
natpad.csv,6.0,0.0,1.0,19.0,1.0,0.0,8.0,4.0,5.0,9.0,33.0,0.0,4.0,13.0,19.0,1.0,0.0
nosleepsoftware.csv,10.0,9.0,6.0,4.0,0.0,1.0,7.0,10.0,1.0,168.0,3.0,0.0,1.0,3.0,27.0,0.0,3.0
ossbuild.csv,18.0,0.0,2.0,8.0,0.0,6.0,6.0,15.0,0.0,5.0,3.0,0.0,6.0,15.0,14.0,1.0,1.0
quarkplayer.csv,12.0,1.0,0.0,8.0,2.0,58.0,1.0,2.0,250.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,11.0
quickfast.csv,5.0,13.0,2.0,33.0,10.0,5.0,2.0,14.0,6.0,0.0,16.0,0.0,8.0,2.0,6.0,0.0,0.0
rezilla.csv,20.0,10.0,2.0,44.0,1.0,0.0,8.0,6.0,7.0,0.0,6.0,0.0,0.0,3.0,17.0,8.0,0.0
rhex.csv,0.0,2.0,2.0,24.0,4.0,58.0,3.0,6.0,250.0,3.0,4.0,0.0,0.0,7.0,3.0,1.0,0.0
rocrail.csv,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,250.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
virtuoso.csv,92.0,1.0,2.0,47.0,1.0,2.0,5.0,26.0,5.0,2.0,0.0,0.0,4.0,11.0,9.0,8.0,1.0
yield.csv,7.0,0.0,0.0,53.0,8.0,2.0,0.0,4.0,4.0,2.0,2.0,0.0,2.0,3.0,5.0,0.0,0.0
