,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,mumble.csv,t-2.csv,geochat.csv
adaptagrams.csv,0.4,0.67,0.72,0.68,0.5,0.92,0.74,0.93
aime.csv,0.85,0.52,0.53,0.64,0.92,0.44,0.59,0.67
badtrinitycore.csv,0.67,0.67,0.98,0.98,0.45,0.88,0.89,0.9
electric-core.csv,0.44,0.47,0.84,0.56,0.53,0.73,0.63,0.64
geochat.csv,0.39,0.62,0.44,0.5,0.55,0.4,0.61,0.83
mumble.csv,0.43,0.33,0.71,0.84,0.75,0.6,0.65,0.93
olsrd.csv,0.33,0.39,0.36,0.42,0.44,0.47,0.48,0.44
t-2.csv,0.89,0.93,0.92,0.87,0.71,0.71,0.99,0.73
