,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.69,0.71,0.61,0.41,0.62,0.49,0.0,0.29,0.53,0.5
clamav.csv,0.55,0.67,0.64,0.34,0.68,0.3,0.0,0.72,0.66,0.65
dvd-create.csv,0.55,0.59,0.64,0.5,0.79,0.68,0.0,0.72,0.52,0.59
gbif-indexingtoolkit.csv,0.72,0.27,0.05,0.35,0.0,0.64,0.0,0.29,0.27,0.19
go.csv,0.66,0.59,0.73,0.53,0.37,0.52,0.0,0.34,0.59,0.7
kwave.csv,0.66,0.37,0.09,0.48,0.38,0.57,0.29,0.51,0.71,0.45
libarchive.csv,0.65,0.74,0.72,0.59,0.61,0.17,0.0,0.58,0.27,0.68
liferea.csv,0.61,0.75,0.64,0.35,0.58,0.46,0.46,0.4,0.52,0.62
linux-ntfs.csv,0.56,0.56,0.46,0.47,0.7,0.55,0.48,0.63,0.7,0.66
mpgravity.csv,0.7,0.44,0.65,0.46,0.59,0.5,0.69,0.65,0.41,0.67
