,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.67,0.53,0.0,0.67,0.46,0.28,0.47,0.65,0.42,0.27,0.72,0.36,0.55,0.43
awemud.csv,0.81,0.3,0.11,0.49,0.7,0.57,0.47,0.42,0.64,0.16,0.46,0.41,0.63,0.55
buddata-ebxml-registry.csv,0.83,0.4,0.48,0.65,0.78,0.58,0.56,0.58,0.67,0.18,0.68,0.33,0.96,0.36
cornerstone.csv,0.19,0.32,0.0,0.18,0.56,0.06,0.23,0.06,0.69,0.12,0.23,0.35,0.46,0.39
firebreath.csv,0.77,0.27,0.08,0.55,0.66,0.53,0.59,0.47,0.59,0.11,0.6,0.39,0.49,0.49
lsb.csv,0.72,0.64,0.47,0.52,0.67,0.51,0.3,0.35,0.53,0.25,0.58,0.34,0.32,0.44
maya-work-in-progress.csv,0.77,0.44,0.67,0.62,0.75,0.56,0.53,0.79,0.7,0.18,0.71,0.38,0.85,0.42
mia.csv,0.23,0.22,0.39,0.32,0.09,0.42,0.35,0.57,0.44,0.32,0.47,0.12,0.14,0.29
open-beos.csv,0.82,0.05,0.47,0.64,0.41,0.62,0.41,0.59,0.42,0.14,0.6,0.2,0.59,0.55
qgis.csv,0.68,0.1,0.44,0.64,0.57,0.5,0.48,0.63,0.63,0.17,0.53,0.38,0.7,0.5
rocrail.csv,0.66,0.16,0.55,0.51,0.49,0.31,0.42,0.36,0.42,0.07,0.42,0.27,0.71,0.66
rtb-team.csv,0.62,0.16,0.77,0.47,0.06,0.36,0.22,0.38,0.47,0.09,0.27,0.3,0.52,0.41
tradelink.csv,0.72,0.35,0.41,0.39,0.3,0.48,0.11,0.25,0.29,0.08,0.5,0.5,0.84,0.24
upp-mirror.csv,0.69,0.68,0.21,0.51,0.73,0.49,0.49,0.5,0.39,0.22,0.42,0.34,0.81,0.58
