,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,opensim4opencog.csv,java-gnome.csv,miranda-icq.csv,t-2.csv,boost.csv,ofbiz.csv,xcf.csv
adaptagrams.csv,0.84,0.82,0.47,0.34,0.27,0.52,0.53,0.12,0.37,0.36,0.26
badtrinitycore.csv,0.0,0.08,0.38,0.51,0.2,0.0,0.09,0.25,0.22,0.15,0.37
boost.csv,0.71,0.78,0.36,0.23,0.27,0.03,0.27,0.26,0.6,0.55,0.52
electric-core.csv,0.72,0.86,0.52,0.26,0.31,0.48,0.42,0.25,0.51,0.68,0.61
java-gnome.csv,0.24,0.74,0.13,0.2,0.27,0.85,0.4,0.21,0.47,0.44,0.36
miranda-icq.csv,0.7,0.86,0.44,0.18,0.23,0.09,0.49,0.36,0.46,0.68,0.47
ofbiz.csv,0.67,0.83,0.29,0.2,0.2,0.42,0.38,0.25,0.55,0.78,0.65
olsrd.csv,0.73,0.83,0.41,0.31,0.3,0.23,0.43,0.23,0.46,0.72,0.57
opensim4opencog.csv,0.69,0.75,0.42,0.32,0.32,0.22,0.34,0.27,0.45,0.66,0.5
t-2.csv,0.26,0.61,0.26,0.17,0.15,0.1,0.31,0.45,0.46,0.59,0.61
xcf.csv,0.67,0.79,0.45,0.27,0.12,0.55,0.45,0.23,0.46,0.6,0.78
