,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,wxstudio.csv,simplewebservices.csv,uwom.csv
acegisecurity.csv,0.92,0.6,0.0,0.55,0.46,0.58
ppcboot.csv,0.77,0.58,0.9,0.41,0.5,0.59
simplewebservices.csv,0.63,0.41,0.4,0.43,0.99,0.36
uwom.csv,0.58,0.85,0.0,0.44,0.52,0.95
wow-qrsk.csv,0.58,0.97,0.63,0.13,0.46,0.79
wxstudio.csv,0.46,0.33,0.07,0.96,0.22,0.38
