,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.33,0.42,0.0,0.5,0.5,0.21,0.0,0.53,1.0,0.14,0.75,1.0,0.65,0.0,0.66,0.33
customsagetv.csv,0.5,0.8,0.0,0.17,0.0,0.0,0.0,1.0,0.33,0.4,0.0,1.0,0.9,0.0,1.0,0.95
fluidium.csv,0.62,0.54,0.43,0.15,0.15,0.08,0.56,0.57,0.13,0.19,0.97,0.5,0.57,1.0,0.62,0.68
guineu.csv,1.0,0.39,0.78,0.18,0.17,0.17,0.23,0.4,0.09,0.17,0.95,0.63,0.53,0.35,0.73,0.59
inkscape.csv,0.11,0.52,0.96,0.17,0.02,0.15,1.0,0.57,0.57,0.36,0.95,0.77,0.67,0.47,0.6,0.0
mpqc.csv,0.35,0.5,0.7,0.33,0.08,1.0,0.42,0.39,0.12,0.2,0.92,0.5,0.32,0.5,0.72,0.55
nsis.csv,0.29,0.4,0.78,0.15,0.17,0.15,0.58,0.53,0.23,0.27,1.0,0.76,0.48,0.44,0.63,0.07
octave.csv,0.35,0.38,0.93,0.18,1.0,0.12,0.68,0.42,0.09,0.17,0.81,0.82,0.43,0.58,0.58,0.58
owfs.csv,0.5,0.88,1.0,1.0,0.5,0.0,0.29,0.6,0.37,0.36,1.0,0.86,0.88,0.0,0.89,1.0
owlib.csv,0.4,1.0,0.79,0.18,0.16,0.12,0.52,0.47,0.16,0.27,0.94,0.63,0.62,0.42,0.68,0.58
pamguard.csv,0.27,0.44,0.79,0.18,0.18,0.26,0.44,0.52,0.25,0.14,0.94,0.92,0.63,0.48,1.0,0.6
prelude.csv,0.3,0.41,1.0,0.15,0.19,0.16,0.6,0.45,0.26,0.24,0.93,0.94,0.44,0.45,0.65,0.63
robocode.csv,0.43,0.65,0.75,0.2,0.3,0.0,0.52,0.96,0.41,0.24,0.85,0.75,0.6,0.31,0.69,0.6
uwom-server.csv,0.28,0.44,1.0,0.0,0.27,0.05,0.65,0.41,0.19,1.0,0.5,1.0,0.4,0.2,0.53,0.72
zengine.csv,0.3,0.4,0.81,0.18,0.28,0.16,0.6,0.57,0.43,0.26,0.94,1.0,0.55,0.41,0.66,0.56
zildo.csv,0.41,0.4,0.82,0.16,0.0,0.14,0.59,0.67,0.4,0.28,0.9,0.79,1.0,0.5,0.63,0.37
