,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.44,0.63,0.69,0.57,0.85,0.54,0.62,0.42,0.79,0.4,0.5,0.54
fityk.csv,0.68,0.6,0.48,0.54,0.68,0.67,0.8,0.0,0.43,0.44,0.42,0.52
hatari.csv,0.59,0.7,0.45,0.56,0.44,0.49,0.46,0.62,0.59,0.36,0.65,0.49
lmms.csv,0.5,0.46,0.94,0.48,0.49,0.5,0.53,0.46,0.36,0.35,0.55,0.48
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
nullc.csv,0.46,0.45,0.45,0.43,0.41,0.39,0.58,0.42,0.35,0.38,0.59,0.5
oscarmcmaster.csv,0.67,0.89,0.59,0.96,0.91,0.93,0.88,0.57,0.0,0.88,0.38,0.93
superwaba.csv,0.54,0.5,0.55,0.54,0.48,0.5,0.78,0.43,0.47,0.38,0.53,0.45
tycho.csv,0.59,0.58,0.47,0.53,0.5,0.47,0.7,0.53,0.38,0.46,0.6,0.65
vienna-add-in.csv,0.42,0.44,0.44,0.42,0.41,0.52,0.52,0.44,0.36,0.33,0.45,0.46
voms.csv,0.9,0.86,0.96,0.94,0.5,0.91,0.88,0.91,0.5,0.8,0.89,0.97
wsmt.csv,0.94,0.81,0.78,0.95,0.9,0.89,0.75,0.88,0.0,0.8,0.58,0.98
