,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.93,0.52,0.36,0.54,0.91,0.37,0.11,0.89,0.32,0.67,0.49,0.43
fityk.csv,0.41,0.28,0.7,0.63,0.18,0.28,0.22,0.0,0.98,1.0,0.6,0.49
hatari.csv,0.93,0.34,0.72,0.54,0.73,0.57,0.67,0.37,0.34,1.0,0.31,0.6
lmms.csv,0.62,0.64,0.16,0.98,0.59,0.28,0.33,0.57,0.89,0.67,0.2,0.32
mecat.csv,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02
nullc.csv,0.9,0.98,0.8,0.87,1.0,0.77,0.56,1.0,1.0,1.0,0.14,0.55
oscarmcmaster.csv,0.31,0.18,0.54,0.14,0.14,0.14,0.22,0.43,0.02,0.33,0.51,0.96
superwaba.csv,0.52,0.6,0.98,0.49,0.59,0.43,0.44,0.57,0.52,1.0,0.8,0.62
tycho.csv,0.55,0.34,0.7,0.53,0.55,0.45,0.56,1.0,0.75,0.67,0.63,0.47
vienna-add-in.csv,1.0,1.0,0.86,0.96,1.0,0.98,1.0,0.91,0.93,1.0,0.66,0.66
voms.csv,0.24,0.12,0.26,0.09,0.05,0.07,0.89,0.2,0.02,0.0,0.2,0.15
wsmt.csv,0.21,0.3,0.36,0.13,0.18,0.3,0.11,0.2,0.0,0.0,0.94,0.21
